Id,Id2,Geography,Year,Estimate; Median household income in the past 12 months,Margin of Error; Median household income in the past 12 months
0500000US06001,6001,"Alameda County, California",2013,72399,1724
0500000US06007,6007,"Butte County, California",2013,42752,2438
0500000US06013,6013,"Contra Costa County, California",2013,79100,3132
0500000US06017,6017,"El Dorado County, California",2013,61365,4625
0500000US06019,6019,"Fresno County, California",2013,43925,1374
0500000US06023,6023,"Humboldt County, California",2013,42092,4572
0500000US06025,6025,"Imperial County, California",2013,43310,4644
0500000US06029,6029,"Kern County, California",2013,46879,2311
0500000US06031,6031,"Kings County, California",2013,45774,3036
0500000US06033,6033,"Lake County, California",2013,37079,12116
0500000US06037,6037,"Los Angeles County, California",2013,54529,645
0500000US06039,6039,"Madera County, California",2013,39758,3435
0500000US06041,6041,"Marin County, California",2013,96580,5921
0500000US06045,6045,"Mendocino County, California",2013,42042,4562
0500000US06047,6047,"Merced County, California",2013,40687,2019
0500000US06053,6053,"Monterey County, California",2013,57052,3890
0500000US06055,6055,"Napa County, California",2013,70914,4646
0500000US06057,6057,"Nevada County, California",2013,54851,5124
0500000US06059,6059,"Orange County, California",2013,74163,1461
0500000US06061,6061,"Placer County, California",2013,73328,2659
0500000US06065,6065,"Riverside County, California",2013,54095,1252
0500000US06067,6067,"Sacramento County, California",2013,52936,1408
0500000US06071,6071,"San Bernardino County, California",2013,52323,1172
0500000US06073,6073,"San Diego County, California",2013,61426,812
0500000US06075,6075,"San Francisco County, California",2013,77485,2315
0500000US06077,6077,"San Joaquin County, California",2013,51432,1301
0500000US06079,6079,"San Luis Obispo County, California",2013,58158,2686
0500000US06081,6081,"San Mateo County, California",2013,91322,1774
0500000US06083,6083,"Santa Barbara County, California",2013,62421,3413
0500000US06085,6085,"Santa Clara County, California",2013,92014,1523
0500000US06087,6087,"Santa Cruz County, California",2013,68438,5190
0500000US06089,6089,"Shasta County, California",2013,40332,3172
0500000US06095,6095,"Solano County, California",2013,63520,3371
0500000US06097,6097,"Sonoma County, California",2013,61029,1565
0500000US06099,6099,"Stanislaus County, California",2013,47962,2536
0500000US06101,6101,"Sutter County, California",2013,49139,4861
0500000US06107,6107,"Tulare County, California",2013,39422,2284
0500000US06111,6111,"Ventura County, California",2013,77363,2133
0500000US06113,6113,"Yolo County, California",2013,54898,5475
0500000US06115,6115,"Yuba County, California",2013,43801,5685
0500000US06001,6001,"Alameda County, California",2012,70500,1475
0500000US06007,6007,"Butte County, California",2012,40960,1995
0500000US06013,6013,"Contra Costa County, California",2012,74177,1723
0500000US06017,6017,"El Dorado County, California",2012,69973,3983
0500000US06019,6019,"Fresno County, California",2012,41627,1128
0500000US06023,6023,"Humboldt County, California",2012,40682,2944
0500000US06025,6025,"Imperial County, California",2012,40200,5198
0500000US06029,6029,"Kern County, California",2012,45910,2002
0500000US06031,6031,"Kings County, California",2012,45935,3484
0500000US06033,6033,"Lake County, California",2012,33219,6837
0500000US06037,6037,"Los Angeles County, California",2012,53001,580
0500000US06039,6039,"Madera County, California",2012,42039,3213
0500000US06041,6041,"Marin County, California",2012,90535,5672
0500000US06045,6045,"Mendocino County, California",2012,41369,5525
0500000US06047,6047,"Merced County, California",2012,43597,3789
0500000US06053,6053,"Monterey County, California",2012,58109,3535
0500000US06055,6055,"Napa County, California",2012,68553,5436
0500000US06057,6057,"Nevada County, California",2012,53768,6326
0500000US06059,6059,"Orange County, California",2012,71983,839
0500000US06061,6061,"Placer County, California",2012,69086,2336
0500000US06065,6065,"Riverside County, California",2012,52621,1282
0500000US06067,6067,"Sacramento County, California",2012,52667,1225
0500000US06071,6071,"San Bernardino County, California",2012,50770,1014
0500000US06073,6073,"San Diego County, California",2012,60330,911
0500000US06075,6075,"San Francisco County, California",2012,73012,2985
0500000US06077,6077,"San Joaquin County, California",2012,50722,1357
0500000US06079,6079,"San Luis Obispo County, California",2012,60264,3482
0500000US06081,6081,"San Mateo County, California",2012,81609,1759
0500000US06083,6083,"Santa Barbara County, California",2012,61890,2475
0500000US06085,6085,"Santa Clara County, California",2012,91425,1402
0500000US06087,6087,"Santa Cruz County, California",2012,67769,3229
0500000US06089,6089,"Shasta County, California",2012,45442,2644
0500000US06095,6095,"Solano County, California",2012,62066,1784
0500000US06097,6097,"Sonoma County, California",2012,59941,2090
0500000US06099,6099,"Stanislaus County, California",2012,46405,2000
0500000US06101,6101,"Sutter County, California",2012,47081,4068
0500000US06107,6107,"Tulare County, California",2012,40302,1650
0500000US06111,6111,"Ventura County, California",2012,71517,1851
0500000US06113,6113,"Yolo County, California",2012,50594,2881
0500000US06115,6115,"Yuba County, California",2012,43545,4066
0500000US06001,6001,"Alameda County, California",2011,67558,1670
0500000US06007,6007,"Butte County, California",2011,39179,1891
0500000US06013,6013,"Contra Costa County, California",2011,74353,2713
0500000US06017,6017,"El Dorado County, California",2011,61084,5063
0500000US06019,6019,"Fresno County, California",2011,42807,1370
0500000US06023,6023,"Humboldt County, California",2011,41187,4266
0500000US06025,6025,"Imperial County, California",2011,37843,4938
0500000US06029,6029,"Kern County, California",2011,45224,1820
0500000US06031,6031,"Kings County, California",2011,50345,3197
0500000US06033,6033,"Lake County, California",2011,35991,3867
0500000US06037,6037,"Los Angeles County, California",2011,52280,462
0500000US06039,6039,"Madera County, California",2011,46570,3164
0500000US06041,6041,"Marin County, California",2011,77168,4762
0500000US06045,6045,"Mendocino County, California",2011,42431,5133
0500000US06047,6047,"Merced County, California",2011,40055,2768
0500000US06053,6053,"Monterey County, California",2011,53179,2316
0500000US06055,6055,"Napa County, California",2011,61460,3903
0500000US06057,6057,"Nevada County, California",2011,54080,4321
0500000US06059,6059,"Orange County, California",2011,72293,1199
0500000US06061,6061,"Placer County, California",2011,68959,4414
0500000US06065,6065,"Riverside County, California",2011,52883,1624
0500000US06067,6067,"Sacramento County, California",2011,52314,1362
0500000US06071,6071,"San Bernardino County, California",2011,51247,1126
0500000US06073,6073,"San Diego County, California",2011,59477,1346
0500000US06075,6075,"San Francisco County, California",2011,69894,2466
0500000US06077,6077,"San Joaquin County, California",2011,50853,1692
0500000US06079,6079,"San Luis Obispo County, California",2011,54195,2655
0500000US06081,6081,"San Mateo County, California",2011,81657,3170
0500000US06083,6083,"Santa Barbara County, California",2011,60505,2471
0500000US06085,6085,"Santa Clara County, California",2011,84895,1426
0500000US06087,6087,"Santa Cruz County, California",2011,62513,3507
0500000US06089,6089,"Shasta County, California",2011,42062,3142
0500000US06095,6095,"Solano County, California",2011,63795,3368
0500000US06097,6097,"Sonoma County, California",2011,61020,1839
0500000US06099,6099,"Stanislaus County, California",2011,44076,2394
0500000US06101,6101,"Sutter County, California",2011,49533,2495
0500000US06107,6107,"Tulare County, California",2011,41167,2260
0500000US06111,6111,"Ventura County, California",2011,74623,1761
0500000US06113,6113,"Yolo County, California",2011,49594,2959
0500000US06115,6115,"Yuba County, California",2011,43961,1793
0500000US06001,6001,"Alameda County, California",2010,67169,1470
0500000US06007,6007,"Butte County, California",2010,41657,2238
0500000US06013,6013,"Contra Costa County, California",2010,73721,1862
0500000US06017,6017,"El Dorado County, California",2010,66129,4118
0500000US06019,6019,"Fresno County, California",2010,45221,1197
0500000US06023,6023,"Humboldt County, California",2010,38492,2268
0500000US06025,6025,"Imperial County, California",2010,41802,3590
0500000US06029,6029,"Kern County, California",2010,45524,2036
0500000US06031,6031,"Kings County, California",2010,44609,4060
0500000US06033,6033,"Lake County, California",2010,34910,4701
0500000US06037,6037,"Los Angeles County, California",2010,52684,621
0500000US06039,6039,"Madera County, California",2010,48268,6554
0500000US06041,6041,"Marin County, California",2010,83867,7055
0500000US06045,6045,"Mendocino County, California",2010,40536,4722
0500000US06047,6047,"Merced County, California",2010,42449,2915
0500000US06053,6053,"Monterey County, California",2010,54534,2569
0500000US06055,6055,"Napa County, California",2010,64401,4324
0500000US06057,6057,"Nevada County, California",2010,54456,3199
0500000US06059,6059,"Orange County, California",2010,70880,901
0500000US06061,6061,"Placer County, California",2010,67884,3724
0500000US06065,6065,"Riverside County, California",2010,54296,1237
0500000US06067,6067,"Sacramento County, California",2010,52709,1245
0500000US06071,6071,"San Bernardino County, California",2010,52607,1237
0500000US06073,6073,"San Diego County, California",2010,59923,1075
0500000US06075,6075,"San Francisco County, California",2010,71745,2387
0500000US06077,6077,"San Joaquin County, California",2010,50011,1507
0500000US06079,6079,"San Luis Obispo County, California",2010,53978,2745
0500000US06081,6081,"San Mateo County, California",2010,82748,2239
0500000US06083,6083,"Santa Barbara County, California",2010,56767,2371
0500000US06085,6085,"Santa Clara County, California",2010,85002,1760
0500000US06087,6087,"Santa Cruz County, California",2010,61071,2767
0500000US06089,6089,"Shasta County, California",2010,41023,1839
0500000US06095,6095,"Solano County, California",2010,63384,3021
0500000US06097,6097,"Sonoma County, California",2010,59055,3310
0500000US06099,6099,"Stanislaus County, California",2010,48044,2608
0500000US06101,6101,"Sutter County, California",2010,46521,3281
0500000US06107,6107,"Tulare County, California",2010,43397,2142
0500000US06111,6111,"Ventura County, California",2010,71864,1550
0500000US06113,6113,"Yolo County, California",2010,55798,4338
0500000US06115,6115,"Yuba County, California",2010,45755,7473
0500000US06001,6001,"Alameda County, California",2009,68405,1283
0500000US06007,6007,"Butte County, California",2009,41786,2372
0500000US06013,6013,"Contra Costa County, California",2009,75139,2604
0500000US06017,6017,"El Dorado County, California",2009,70449,4218
0500000US06019,6019,"Fresno County, California",2009,45661,1436
0500000US06023,6023,"Humboldt County, California",2009,35745,1736
0500000US06025,6025,"Imperial County, California",2009,38594,2713
0500000US06029,6029,"Kern County, California",2009,47368,1688
0500000US06031,6031,"Kings County, California",2009,44506,4012
0500000US06033,6033,"Lake County, California",2009,39343,7948
0500000US06037,6037,"Los Angeles County, California",2009,54467,639
0500000US06039,6039,"Madera County, California",2009,44135,7328
0500000US06041,6041,"Marin County, California",2009,89019,6815
0500000US06045,6045,"Mendocino County, California",2009,41867,3315
0500000US06047,6047,"Merced County, California",2009,39535,2234
0500000US06053,6053,"Monterey County, California",2009,58448,2195
0500000US06055,6055,"Napa County, California",2009,68541,3737
0500000US06057,6057,"Nevada County, California",2009,57884,3575
0500000US06059,6059,"Orange County, California",2009,71865,981
0500000US06061,6061,"Placer County, California",2009,70568,2869
0500000US06065,6065,"Riverside County, California",2009,55352,1152
0500000US06067,6067,"Sacramento County, California",2009,52504,1028
0500000US06071,6071,"San Bernardino County, California",2009,52320,1111
0500000US06073,6073,"San Diego County, California",2009,60231,1029
0500000US06075,6075,"San Francisco County, California",2009,70770,2198
0500000US06077,6077,"San Joaquin County, California",2009,52789,2069
0500000US06079,6079,"San Luis Obispo County, California",2009,56661,3323
0500000US06081,6081,"San Mateo County, California",2009,85213,2868
0500000US06083,6083,"Santa Barbara County, California",2009,59051,2060
0500000US06085,6085,"Santa Clara County, California",2009,85215,1849
0500000US06087,6087,"Santa Cruz County, California",2009,61499,3351
0500000US06089,6089,"Shasta County, California",2009,42889,2486
0500000US06095,6095,"Solano County, California",2009,65783,3538
0500000US06097,6097,"Sonoma County, California",2009,62368,2725
0500000US06099,6099,"Stanislaus County, California",2009,48716,1418
0500000US06101,6101,"Sutter County, California",2009,50333,5231
0500000US06107,6107,"Tulare County, California",2009,39997,1696
0500000US06111,6111,"Ventura County, California",2009,71723,2070
0500000US06113,6113,"Yolo County, California",2009,57634,3411
0500000US06115,6115,"Yuba County, California",2009,45117,7030
0500000US06001,6001,"Alameda County, California",2008,70395,1589
0500000US06007,6007,"Butte County, California",2008,40101,2475
0500000US06013,6013,"Contra Costa County, California",2008,78618,2217
0500000US06017,6017,"El Dorado County, California",2008,67660,4056
0500000US06019,6019,"Fresno County, California",2008,43737,1993
0500000US06023,6023,"Humboldt County, California",2008,39750,1969
0500000US06025,6025,"Imperial County, California",2008,37936,4955
0500000US06029,6029,"Kern County, California",2008,44733,1813
0500000US06031,6031,"Kings County, California",2008,50962,4570
0500000US06033,6033,"Lake County, California",2008,40538,4406
0500000US06037,6037,"Los Angeles County, California",2008,55499,538
0500000US06039,6039,"Madera County, California",2008,47394,4630
0500000US06041,6041,"Marin County, California",2008,91982,6273
0500000US06045,6045,"Mendocino County, California",2008,43205,4085
0500000US06047,6047,"Merced County, California",2008,42303,3505
0500000US06053,6053,"Monterey County, California",2008,59375,2308
0500000US06055,6055,"Napa County, California",2008,65158,4092
0500000US06057,6057,"Nevada County, California",2008,53195,6010
0500000US06059,6059,"Orange County, California",2008,75078,1295
0500000US06061,6061,"Placer County, California",2008,75183,2891
0500000US06065,6065,"Riverside County, California",2008,57792,1233
0500000US06067,6067,"Sacramento County, California",2008,56984,1294
0500000US06071,6071,"San Bernardino County, California",2008,55021,1337
0500000US06073,6073,"San Diego County, California",2008,63026,1279
0500000US06075,6075,"San Francisco County, California",2008,73798,2446
0500000US06077,6077,"San Joaquin County, California",2008,54882,1979
0500000US06079,6079,"San Luis Obispo County, California",2008,60534,1861
0500000US06081,6081,"San Mateo County, California",2008,85153,2506
0500000US06083,6083,"Santa Barbara County, California",2008,61543,3239
0500000US06085,6085,"Santa Clara County, California",2008,88846,2082
0500000US06087,6087,"Santa Cruz County, California",2008,67466,2938
0500000US06089,6089,"Shasta County, California",2008,42065,3127
0500000US06095,6095,"Solano County, California",2008,70635,2099
0500000US06097,6097,"Sonoma County, California",2008,62238,1939
0500000US06099,6099,"Stanislaus County, California",2008,50359,2155
0500000US06101,6101,"Sutter County, California",2008,50021,3667
0500000US06107,6107,"Tulare County, California",2008,45117,2215
0500000US06111,6111,"Ventura County, California",2008,76860,2179
0500000US06113,6113,"Yolo County, California",2008,60001,4281
0500000US06115,6115,"Yuba County, California",2008,51844,4593
0500000US06001,6001,"Alameda County, California",2007,68740,2446
0500000US06007,6007,"Butte County, California",2007,39529,3217
0500000US06013,6013,"Contra Costa County, California",2007,76436,2211
0500000US06017,6017,"El Dorado County, California",2007,64188,5534
0500000US06019,6019,"Fresno County, California",2007,47298,1722
0500000US06023,6023,"Humboldt County, California",2007,36870,3285
0500000US06025,6025,"Imperial County, California",2007,31912,2685
0500000US06029,6029,"Kern County, California",2007,47105,1668
0500000US06031,6031,"Kings County, California",2007,46756,4187
0500000US06033,6033,"Lake County, California",2007,40946,7371
0500000US06037,6037,"Los Angeles County, California",2007,53573,668
0500000US06039,6039,"Madera County, California",2007,44975,2905
0500000US06041,6041,"Marin County, California",2007,83870,4851
0500000US06045,6045,"Mendocino County, California",2007,42941,4245
0500000US06047,6047,"Merced County, California",2007,44410,2145
0500000US06053,6053,"Monterey County, California",2007,57056,2153
0500000US06055,6055,"Napa County, California",2007,62081,3388
0500000US06057,6057,"Nevada County, California",2007,59150,3147
0500000US06059,6059,"Orange County, California",2007,73263,1165
0500000US06061,6061,"Placer County, California",2007,69076,3731
0500000US06065,6065,"Riverside County, California",2007,58145,1477
0500000US06067,6067,"Sacramento County, California",2007,56987,1160
0500000US06071,6071,"San Bernardino County, California",2007,56428,1392
0500000US06073,6073,"San Diego County, California",2007,61794,701
0500000US06075,6075,"San Francisco County, California",2007,68023,3283
0500000US06077,6077,"San Joaquin County, California",2007,52470,2241
0500000US06079,6079,"San Luis Obispo County, California",2007,56952,3343
0500000US06081,6081,"San Mateo County, California",2007,83109,2440
0500000US06083,6083,"Santa Barbara County, California",2007,58401,3144
0500000US06085,6085,"Santa Clara County, California",2007,84360,1608
0500000US06087,6087,"Santa Cruz County, California",2007,63778,3840
0500000US06089,6089,"Shasta County, California",2007,41901,2736
0500000US06095,6095,"Solano County, California",2007,66880,1949
0500000US06097,6097,"Sonoma County, California",2007,62399,2417
0500000US06099,6099,"Stanislaus County, California",2007,50616,1455
0500000US06101,6101,"Sutter County, California",2007,51382,4282
0500000US06107,6107,"Tulare County, California",2007,40595,1392
0500000US06111,6111,"Ventura County, California",2007,73250,2186
0500000US06113,6113,"Yolo County, California",2007,59384,4645
0500000US06115,6115,"Yuba County, California",2007,42712,4502
0500000US06001,6001,"Alameda County, California",2006,64424,1488
0500000US06007,6007,"Butte County, California",2006,40897,2193
0500000US06013,6013,"Contra Costa County, California",2006,74241,2366
0500000US06017,6017,"El Dorado County, California",2006,70516,4459
0500000US06019,6019,"Fresno County, California",2006,42732,1245
0500000US06023,6023,"Humboldt County, California",2006,40749,3012
0500000US06025,6025,"Imperial County, California",2006,37086,2599
0500000US06029,6029,"Kern County, California",2006,43106,1970
0500000US06031,6031,"Kings County, California",2006,43178,4674
0500000US06033,6033,"Lake County, California",2006,37628,4540
0500000US06037,6037,"Los Angeles County, California",2006,51315,398
0500000US06039,6039,"Madera County, California",2006,39068,2790
0500000US06041,6041,"Marin County, California",2006,81761,3713
0500000US06045,6045,"Mendocino County, California",2006,39705,3361
0500000US06047,6047,"Merced County, California",2006,40447,3176
0500000US06053,6053,"Monterey County, California",2006,55045,2965
0500000US06055,6055,"Napa County, California",2006,66645,5087
0500000US06057,6057,"Nevada County, California",2006,50675,3792
0500000US06059,6059,"Orange County, California",2006,70232,953
0500000US06061,6061,"Placer County, California",2006,70013,2475
0500000US06065,6065,"Riverside County, California",2006,53508,1332
0500000US06067,6067,"Sacramento County, California",2006,53930,1549
0500000US06071,6071,"San Bernardino County, California",2006,52941,1095
0500000US06073,6073,"San Diego County, California",2006,59591,1284
0500000US06075,6075,"San Francisco County, California",2006,65497,2833
0500000US06077,6077,"San Joaquin County, California",2006,51951,1200
0500000US06079,6079,"San Luis Obispo County, California",2006,50209,2120
0500000US06081,6081,"San Mateo County, California",2006,77914,2778
0500000US06083,6083,"Santa Barbara County, California",2006,53477,1795
0500000US06085,6085,"Santa Clara County, California",2006,80838,1196
0500000US06087,6087,"Santa Cruz County, California",2006,62193,3668
0500000US06089,6089,"Shasta County, California",2006,44120,3058
0500000US06095,6095,"Solano County, California",2006,61533,1382
0500000US06097,6097,"Sonoma County, California",2006,60821,1823
0500000US06099,6099,"Stanislaus County, California",2006,48566,1750
0500000US06101,6101,"Sutter County, California",2006,51688,5763
0500000US06107,6107,"Tulare County, California",2006,41933,1949
0500000US06111,6111,"Ventura County, California",2006,72107,1436
0500000US06113,6113,"Yolo County, California",2006,51128,3628
0500000US06115,6115,"Yuba County, California",2006,38006,4168
0500000US06001,6001,"Alameda County, California",2005,61014,1433
0500000US06007,6007,"Butte County, California",2005,36602,2193
0500000US06013,6013,"Contra Costa County, California",2005,69487,1826
0500000US06017,6017,"El Dorado County, California",2005,63147,2915
0500000US06019,6019,"Fresno County, California",2005,41899,1550
0500000US06023,6023,"Humboldt County, California",2005,33093,4256
0500000US06025,6025,"Imperial County, California",2005,35533,2563
0500000US06029,6029,"Kern County, California",2005,40224,1244
0500000US06031,6031,"Kings County, California",2005,41095,4194
0500000US06033,6033,"Lake County, California",2005,40067,7917
0500000US06037,6037,"Los Angeles County, California",2005,48248,667
0500000US06039,6039,"Madera County, California",2005,46787,2830
0500000US06041,6041,"Marin County, California",2005,78919,3518
0500000US06045,6045,"Mendocino County, California",2005,41734,3579
0500000US06047,6047,"Merced County, California",2005,40281,2560
0500000US06053,6053,"Monterey County, California",2005,57081,2664
0500000US06055,6055,"Napa County, California",2005,65260,3700
0500000US06057,6057,"Nevada County, California",2005,51615,3208
0500000US06059,6059,"Orange County, California",2005,65953,1107
0500000US06061,6061,"Placer County, California",2005,62080,2775
0500000US06065,6065,"Riverside County, California",2005,52253,1137
0500000US06067,6067,"Sacramento County, California",2005,51793,860
0500000US06071,6071,"San Bernardino County, California",2005,49026,1419
0500000US06073,6073,"San Diego County, California",2005,56335,810
0500000US06075,6075,"San Francisco County, California",2005,57496,1917
0500000US06077,6077,"San Joaquin County, California",2005,49391,1988
0500000US06079,6079,"San Luis Obispo County, California",2005,49721,2252
0500000US06081,6081,"San Mateo County, California",2005,74546,2425
0500000US06083,6083,"Santa Barbara County, California",2005,55970,2598
0500000US06085,6085,"Santa Clara County, California",2005,76810,2006
0500000US06087,6087,"Santa Cruz County, California",2005,58640,4223
0500000US06089,6089,"Shasta County, California",2005,42227,2389
0500000US06095,6095,"Solano County, California",2005,62213,2561
0500000US06097,6097,"Sonoma County, California",2005,58330,2376
0500000US06099,6099,"Stanislaus County, California",2005,47525,2481
0500000US06101,6101,"Sutter County, California",2005,49913,6408
0500000US06107,6107,"Tulare County, California",2005,38722,2108
0500000US06111,6111,"Ventura County, California",2005,66859,1934
0500000US06113,6113,"Yolo County, California",2005,50157,2167
0500000US06115,6115,"Yuba County, California",2005,37695,5100
