Year,Id,Id2,Geography,Estimate; Quintile Means: - Lowest Quintile,Margin of Error; Quintile Means: - Lowest Quintile,Estimate; Quintile Means: - Second Quintile,Margin of Error; Quintile Means: - Second Quintile,Estimate; Quintile Means: - Third Quintile,Margin of Error; Quintile Means: - Third Quintile,Estimate; Quintile Means: - Fourth Quintile,Margin of Error; Quintile Means: - Fourth Quintile,Estimate; Quintile Means: - Highest Quintile,Margin of Error; Quintile Means: - Highest Quintile,Estimate; Top 5 Percent,Margin of Error; Top 5 Percent
2006,0500000US06061,6061,"Placer County, California",18917,1297,43839,1951,69410,2753,103284,3637,211022,16450,367782,54482
2013,0500000US06065,6065,"Riverside County, California",12948,477,32799,780,54601,969,85767,1217,175175,4334,290623,13351
2012,0500000US06065,6065,"Riverside County, California",12651,423,31793,657,53137,1100,83213,1539,164537,4018,259242,10984
2011,0500000US06065,6065,"Riverside County, California",12743,498,31909,901,53454,1333,83969,1596,167417,5140,266776,14969
2010,0500000US06065,6065,"Riverside County, California",13435,468,32534,858,54398,1166,84152,1499,168194,5045,276793,15817
2009,0500000US06065,6065,"Riverside County, California",13782,517,33217,761,55714,1038,85438,1493,165812,4525,271672,13898
2008,0500000US06065,6065,"Riverside County, California",14447,506,34898,858,57938,1126,87893,1374,174188,5341,289121,18456
2007,0500000US06065,6065,"Riverside County, California",14505,518,35449,855,58551,1157,88387,1441,181037,6652,310856,22053
2006,0500000US06065,6065,"Riverside County, California",13970,546,33413,921,53742,1129,81091,1622,160139,4158,261641,12380
2013,0500000US06067,6067,"Sacramento County, California",11662,557,31529,860,53403,1185,84121,1658,175474,6349,297941,20995
2012,0500000US06067,6067,"Sacramento County, California",11215,478,30878,798,53018,1132,83571,1628,169627,4535,280212,14764
2011,0500000US06067,6067,"Sacramento County, California",11863,776,31449,1108,52540,1469,81596,1948,163135,5238,257139,14885
2010,0500000US06067,6067,"Sacramento County, California",12788,532,32260,776,53121,1118,81545,1560,159377,5032,256089,15600
2009,0500000US06067,6067,"Sacramento County, California",13205,503,32288,827,53263,1043,82089,1535,163925,5232,266984,17499
2008,0500000US06067,6067,"Sacramento County, California",14980,602,36038,796,57476,1146,86197,1551,164542,4572,260049,13541
2007,0500000US06067,6067,"Sacramento County, California",14467,468,35697,849,57032,1125,85659,1350,165182,4716,265123,17155
2006,0500000US06067,6067,"Sacramento County, California",13525,585,33129,867,53971,1282,82034,1584,159614,4852,261106,16562
2013,0500000US06071,6071,"San Bernardino County, California",11188,554,31604,797,52731,1089,81806,1361,162742,4150,262879,14091
2012,0500000US06071,6071,"San Bernardino County, California",11165,502,30093,845,50780,1157,78966,1644,152727,4075,240146,11569
2011,0500000US06071,6071,"San Bernardino County, California",11566,728,30586,1063,51278,1246,79994,1692,153933,4347,239178,12427
2010,0500000US06071,6071,"San Bernardino County, California",12347,570,32029,728,53132,1080,80755,1559,152332,3627,233737,10236
2009,0500000US06071,6071,"San Bernardino County, California",12341,492,31946,946,52687,1131,81194,1515,159238,7322,256926,27278
2008,0500000US06071,6071,"San Bernardino County, California",13706,604,33978,845,55333,1235,84000,1789,164588,6511,271352,23814
2007,0500000US06071,6071,"San Bernardino County, California",14901,508,35578,879,56544,1162,84159,1432,154881,4051,235885,12664
2006,0500000US06071,6071,"San Bernardino County, California",13550,487,32734,781,53338,891,79304,1139,150210,4707,238779,16235
2013,0500000US06073,6073,"San Diego County, California",12969,544,36559,718,61934,995,98835,1268,219538,6114,387992,20392
2012,0500000US06073,6073,"San Diego County, California",12586,479,35424,813,60325,968,95680,1181,202616,4346,340973,13292
2011,0500000US06073,6073,"San Diego County, California",11999,574,34858,802,59493,1092,93714,1442,194109,3698,320379,10855
2010,0500000US06073,6073,"San Diego County, California",13319,534,35467,728,59562,1018,93106,1342,195196,4968,330707,15306
2009,0500000US06073,6073,"San Diego County, California",14539,444,37022,755,60647,1013,94493,1274,195818,4805,329967,16124
2008,0500000US06073,6073,"San Diego County, California",14553,511,38353,838,63719,1077,98643,1253,207052,4759,352149,15624
2007,0500000US06073,6073,"San Diego County, California",15029,373,37515,686,62008,883,95415,1235,200204,4008,342385,14161
2006,0500000US06073,6073,"San Diego County, California",14387,475,36324,661,59397,885,90950,1328,192097,3912,330553,13915
2013,0500000US06075,6075,"San Francisco County, California",11943,725,39715,1690,78250,2317,133316,3674,323053,17535,586684,55536
2012,0500000US06075,6075,"San Francisco County, California",10572,672,36916,1760,73188,2874,124846,3830,290773,12488,519542,34319
2011,0500000US06075,6075,"San Francisco County, California",11650,859,36726,1654,70575,2721,118761,3461,276443,16306,495518,55451
2010,0500000US06075,6075,"San Francisco County, California",11527,768,36599,1523,71361,2104,117991,3152,266447,13423,472606,40810
2009,0500000US06075,6075,"San Francisco County, California",11949,937,38605,1779,71592,2167,117576,3630,273694,11520,479837,33691
2008,0500000US06075,6075,"San Francisco County, California",11859,925,40117,1883,74718,2348,123074,4214,293997,15360,523744,41796
2007,0500000US06075,6075,"San Francisco County, California",12173,625,36794,1548,67980,2551,112541,3141,275830,12860,514352,40669
2006,0500000US06075,6075,"San Francisco County, California",11444,872,36212,1646,65872,2306,106538,3248,242318,12268,424799,38181
2013,0500000US06077,6077,"San Joaquin County, California",11586,809,30211,1324,51739,1680,81093,2701,157316,6603,246599,21283
2012,0500000US06077,6077,"San Joaquin County, California",11401,763,29735,1332,50959,1616,81199,2481,166130,8171,268996,24826
2011,0500000US06077,6077,"San Joaquin County, California",12476,753,30706,1377,50803,1736,78970,2933,156420,7765,249229,22891
2010,0500000US06077,6077,"San Joaquin County, California",13311,721,31338,1073,50387,1533,78444,2464,157816,9561,256002,31758
2009,0500000US06077,6077,"San Joaquin County, California",13188,826,32972,1579,53468,2073,82573,2400,163925,8057,270087,26743
2008,0500000US06077,6077,"San Joaquin County, California",12368,934,31813,1657,55166,1953,84913,2633,160709,7641,253528,22435
2007,0500000US06077,6077,"San Joaquin County, California",13524,903,33047,1477,52966,1901,83150,3106,165365,8556,267070,27633
2006,0500000US06077,6077,"San Joaquin County, California",12866,878,32299,1331,52164,1681,79729,2401,154488,6296,252174,17577
2013,0500000US06079,6079,"San Luis Obispo County, California",11908,1571,34414,2297,58844,2808,93817,4165,182995,10652,282458,25296
2012,0500000US06079,6079,"San Luis Obispo County, California",13856,1394,37278,2331,60525,3735,93494,4033,188567,12132,314642,34612
2011,0500000US06079,6079,"San Luis Obispo County, California",10704,1404,30602,2184,53997,3096,86973,3444,172721,11116,285192,32255
2010,0500000US06079,6079,"San Luis Obispo County, California",12811,1072,32126,1873,54388,2849,85061,3711,182331,17706,323800,55156
2009,0500000US06079,6079,"San Luis Obispo County, California",12698,1330,34683,2264,56154,2808,88090,4258,169317,8902,261912,22137
2008,0500000US06079,6079,"San Luis Obispo County, California",13986,1452,35524,2486,60175,2573,89358,3935,177084,11022,300149,34373
2007,0500000US06079,6079,"San Luis Obispo County, California",12777,1453,32085,2387,57053,3242,87763,4027,190863,15183,334113,39419
2006,0500000US06079,6079,"San Luis Obispo County, California",10888,1096,30742,1942,50941,2154,77224,3496,171829,11972,302072,35865
2013,0500000US06081,6081,"San Mateo County, California",21536,1124,55389,1962,91758,2426,143937,3422,339346,14517,614990,48311
2012,0500000US06081,6081,"San Mateo County, California",20097,1242,50424,1657,82651,1929,130545,3425,313616,16204,569001,54383
2011,0500000US06081,6081,"San Mateo County, California",20498,1288,50943,1811,83130,2720,134195,3791,325477,17729,622530,61609
2010,0500000US06081,6081,"San Mateo County, California",20217,1170,52037,1814,83724,2238,127041,3616,274938,11597,476294,36435
2009,0500000US06081,6081,"San Mateo County, California",20865,1542,52426,1934,86116,2557,134156,3092,295911,12794,532375,44610
2008,0500000US06081,6081,"San Mateo County, California",20781,1479,52937,1982,85866,2450,131050,3726,313630,15845,594412,48957
2007,0500000US06081,6081,"San Mateo County, California",21377,1249,52440,2107,83406,2420,127847,3268,299306,13436,547884,38465
2006,0500000US06081,6081,"San Mateo County, California",19631,1166,49123,1724,78315,2561,120119,3143,271079,12706,488342,41973
2013,0500000US06083,6083,"Santa Barbara County, California",13684,1322,36465,2067,62878,3140,99471,3839,247754,18435,477741,57598
2012,0500000US06083,6083,"Santa Barbara County, California",13469,1037,35686,1805,61747,2270,96218,3487,208840,11820,372428,40572
2011,0500000US06083,6083,"Santa Barbara County, California",14137,1031,35618,1862,60352,2871,96787,4096,210951,12281,357676,35049
2010,0500000US06083,6083,"Santa Barbara County, California",11938,1180,34065,1962,57503,2032,91358,3936,224575,19527,436189,69062
2009,0500000US06083,6083,"Santa Barbara County, California",14404,1094,36254,1729,59068,2079,92608,3713,198342,13073,349161,36362
2008,0500000US06083,6083,"Santa Barbara County, California",14881,1217,38027,2169,61452,2837,94955,3716,206661,12260,365791,40783
2007,0500000US06083,6083,"Santa Barbara County, California",14149,1128,35882,1685,58196,2211,91500,3645,204892,11730,367517,38159
2006,0500000US06083,6083,"Santa Barbara County, California",13741,942,32960,1442,53639,1887,83097,2996,200066,14632,375686,45578
2013,0500000US06085,6085,"Santa Clara County, California",18968,738,52731,1340,92133,1785,146741,2534,311999,7874,529579,24980
2012,0500000US06085,6085,"Santa Clara County, California",18408,808,51664,1282,90669,1673,138239,2184,297018,10313,513375,34334
2011,0500000US06085,6085,"Santa Clara County, California",17616,791,49435,1251,85674,1369,135120,2194,285390,7144,480922,20647
2010,0500000US06085,6085,"Santa Clara County, California",17601,860,48891,1225,85247,1693,132452,2314,264298,6883,434954,21664
2009,0500000US06085,6085,"Santa Clara County, California",18177,922,51149,1431,85693,1754,130023,2026,262800,7014,434375,21990
2008,0500000US06085,6085,"Santa Clara County, California",20556,1036,54024,1336,89402,1717,135819,2387,280596,6682,467807,21575
2007,0500000US06085,6085,"Santa Clara County, California",18659,771,50784,1322,84973,1650,131064,2366,269130,8878,452969,27939
2006,0500000US06085,6085,"Santa Clara County, California",16730,721,47460,1282,80426,1405,122331,1997,254197,8814,438436,30934
2013,0500000US06087,6087,"Santa Cruz County, California",12923,1871,37995,2832,67263,3868,105741,4864,212110,11589,341318,29205
2012,0500000US06087,6087,"Santa Cruz County, California",14469,1658,41334,3158,68192,3341,108157,4786,227353,13626,377630,40753
2011,0500000US06087,6087,"Santa Cruz County, California",12584,1360,35667,2268,62590,3610,99351,4812,205761,14925,331717,43233
2010,0500000US06087,6087,"Santa Cruz County, California",12355,1398,35340,2594,61432,3320,95848,4009,198100,10421,327856,30853
2009,0500000US06087,6087,"Santa Cruz County, California",12599,1511,35924,2482,62726,2973,99245,3995,205438,13314,335712,35826
2008,0500000US06087,6087,"Santa Cruz County, California",13930,1790,39727,3177,68510,3349,106825,4361,228795,16963,385914,42037
2007,0500000US06087,6087,"Santa Cruz County, California",16423,1468,39459,2346,64206,3029,99137,4562,224669,15809,385884,48268
2006,0500000US06087,6087,"Santa Cruz County, California",13284,1507,37313,2643,62928,3441,97110,4951,207386,18088,360054,65322
2013,0500000US06089,6089,"Shasta County, California",9849,1233,24560,1678,40089,2500,64601,3363,135503,9028,220211,24222
2012,0500000US06089,6089,"Shasta County, California",11560,1202,27942,2227,45319,2461,71409,3355,140822,6960,223025,16736
2011,0500000US06089,6089,"Shasta County, California",10134,1025,24163,2066,42400,2877,65156,4112,132860,7597,206125,13582
2010,0500000US06089,6089,"Shasta County, California",10546,1139,24938,2186,41141,2221,64552,3111,129492,11271,215417,28692
2009,0500000US06089,6089,"Shasta County, California",11011,1138,26412,1905,43749,2243,66950,3234,143162,12299,251250,41330
2008,0500000US06089,6089,"Shasta County, California",8648,1388,24560,2362,42218,2546,66647,3622,132574,8739,215001,24960
2007,0500000US06089,6089,"Shasta County, California",11501,1356,26141,1889,43251,3140,66351,2993,140711,12599,240035,36129
2006,0500000US06089,6089,"Shasta County, California",10254,1335,26681,2089,44114,2237,65773,3076,141961,12249,250310,40692
2013,0500000US06095,6095,"Solano County, California",14327,1288,39740,1904,64856,2561,98110,2862,185724,9591,292248,27519
2012,0500000US06095,6095,"Solano County, California",13840,1039,37799,1710,62943,2060,95284,2695,183231,8818,285372,26375
2011,0500000US06095,6095,"Solano County, California",15035,1255,39447,2433,64351,2409,96744,3895,185040,10936,283108,25508
2010,0500000US06095,6095,"Solano County, California",15641,1499,40809,2291,64181,2545,94147,3479,172123,8535,261041,28098
2009,0500000US06095,6095,"Solano County, California",16268,1399,40891,1774,65752,2841,96920,3536,179499,8030,266057,19798
2008,0500000US06095,6095,"Solano County, California",18637,1670,45228,1985,70168,2414,103588,3507,184749,7839,284286,28173
2007,0500000US06095,6095,"Solano County, California",16844,1256,42596,2129,67239,2356,97173,2950,175403,8812,272691,24462
2006,0500000US06095,6095,"Solano County, California",15785,1443,39063,1825,61924,1885,90416,2525,167656,7839,257313,22874
2013,0500000US06097,6097,"Sonoma County, California",15164,934,37495,1538,61108,2060,97148,2965,212546,14060,376271,45578
2012,0500000US06097,6097,"Sonoma County, California",15265,961,37015,1538,60500,2037,94198,2789,200799,11690,355554,38449
2011,0500000US06097,6097,"Sonoma County, California",15066,995,36644,1508,61007,2075,94619,3878,191203,10949,305493,32565
2010,0500000US06097,6097,"Sonoma County, California",13999,1145,35859,1789,58553,2181,88083,2672,179059,7962,290162,22397
2009,0500000US06097,6097,"Sonoma County, California",16032,1046,37911,1943,62983,2771,97188,3246,188028,9817,300303,30459
2008,0500000US06097,6097,"Sonoma County, California",15147,990,37924,1398,62457,2044,96305,3320,205863,13709,367609,45426
2007,0500000US06097,6097,"Sonoma County, California",15598,1323,40040,1866,63152,2189,94699,2709,196271,9502,328254,27630
2006,0500000US06097,6097,"Sonoma County, California",14804,975,36364,1532,60770,2059,90719,2542,184578,11314,319487,40040
2013,0500000US06099,6099,"Stanislaus County, California",11333,743,28379,1531,48201,2011,76676,2898,173235,25353,313352,98567
2012,0500000US06099,6099,"Stanislaus County, California",11515,850,28447,1068,46783,1578,73687,2242,149755,6609,243895,20112
2011,0500000US06099,6099,"Stanislaus County, California",10695,879,26823,1504,44787,2080,71905,2835,142123,7818,223394,21208
2010,0500000US06099,6099,"Stanislaus County, California",10667,767,27593,1114,47519,1774,75375,2663,153841,11283,265012,37337
2009,0500000US06099,6099,"Stanislaus County, California",12658,844,29810,1361,49205,1590,74662,2373,145070,7000,225879,18596
2008,0500000US06099,6099,"Stanislaus County, California",13289,901,31284,1606,51183,2244,78153,2565,161029,10646,274867,36840
2007,0500000US06099,6099,"Stanislaus County, California",13230,878,31477,1784,50920,1948,76748,2451,149001,9882,241608,30615
2006,0500000US06099,6099,"Stanislaus County, California",12803,940,29936,1352,48391,1592,73936,2402,156832,9698,277877,32531
2013,0500000US06101,6101,"Sutter County, California",12459,1769,30219,3161,49628,3974,78966,5731,170466,20919,314849,74941
2012,0500000US06101,6101,"Sutter County, California",10480,1507,28212,3498,48490,3823,76179,5469,167684,30286,304201,109147
2011,0500000US06101,6101,"Sutter County, California",14213,1871,31875,3607,49595,3879,72062,5527,154424,19667,256670,52870
2010,0500000US06101,6101,"Sutter County, California",12752,1404,28874,2852,46651,3140,74353,5321,141734,11354,219683,30004
2009,0500000US06101,6101,"Sutter County, California",13491,1996,31562,3058,49980,3880,72893,4861,137470,16051,223151,58559
2008,0500000US06101,6101,"Sutter County, California",12547,1547,27804,3054,48763,3551,70480,4198,151063,20407,271343,69975
2007,0500000US06101,6101,"Sutter County, California",13940,1676,31185,3443,50950,4133,79509,4977,150250,12737,232069,34389
2006,0500000US06101,6101,"Sutter County, California",13292,2104,33147,3213,52397,4779,76806,5019,154209,17860,245849,45433
2013,0500000US06107,6107,"Tulare County, California",8997,935,23290,1244,39555,1632,62740,2590,136882,8753,225696,22339
2012,0500000US06107,6107,"Tulare County, California",10219,699,23808,1197,40120,1863,64050,2703,137880,8650,219773,26706
2011,0500000US06107,6107,"Tulare County, California",11252,867,25638,1177,41282,2001,66343,3424,137191,6971,220575,19315
2010,0500000US06107,6107,"Tulare County, California",10674,794,25558,1296,43296,1947,67774,2845,140875,9024,230526,29085
2009,0500000US06107,6107,"Tulare County, California",10951,869,26217,1057,40896,1685,65121,3073,139155,8331,232215,22045
2008,0500000US06107,6107,"Tulare County, California",11351,1103,27006,1504,45230,1987,69944,2549,133836,6423,200887,14423
2007,0500000US06107,6107,"Tulare County, California",10702,1013,25194,1217,40279,1538,64570,2749,136090,7280,225516,23723
2006,0500000US06107,6107,"Tulare County, California",10697,970,24649,1416,42008,2201,65919,2536,138228,10037,233356,33108
2013,0500000US06111,6111,"Ventura County, California",18521,1015,46666,1655,77781,2068,118944,2543,244598,10985,407607,35546
2012,0500000US06111,6111,"Ventura County, California",18152,882,44336,1480,71804,2178,108941,2914,227634,11699,385500,39795
2011,0500000US06111,6111,"Ventura County, California",16792,997,43707,1673,74679,1713,113436,2587,220299,8158,357223,25145
2010,0500000US06111,6111,"Ventura County, California",17434,1096,43356,1757,72093,2142,109954,2873,223612,8659,367150,26438
2009,0500000US06111,6111,"Ventura County, California",17223,1056,43735,1632,71705,2095,108119,2796,214779,8172,349837,25525
2008,0500000US06111,6111,"Ventura County, California",18578,962,47405,1894,76972,2180,114851,2615,229376,9320,395482,32791
2007,0500000US06111,6111,"Ventura County, California",18864,1003,44746,1663,73350,2045,108436,2895,219454,13043,372942,40915
2006,0500000US06111,6111,"Ventura County, California",17931,951,44688,1378,72341,1608,106653,2082,215241,8370,366370,28276
2013,0500000US06113,6113,"Yolo County, California",9544,1434,30858,3161,55196,3391,87419,4229,188090,12401,304706,38470
2012,0500000US06113,6113,"Yolo County, California",11494,1272,30281,2183,51576,3818,88946,4623,188370,15825,321595,51074
2011,0500000US06113,6113,"Yolo County, California",10891,1306,27921,2568,50915,3861,89433,6038,192750,19047,314535,62750
2010,0500000US06113,6113,"Yolo County, California",12038,1141,31885,3344,56040,3655,88508,5534,185401,13722,308118,42536
2009,0500000US06113,6113,"Yolo County, California",12023,1584,33258,2756,57953,3648,91213,4282,175420,12410,278490,34670
2008,0500000US06113,6113,"Yolo County, California",13253,1532,34401,2601,58833,3000,92059,5074,182831,12133,295149,36142
2007,0500000US06113,6113,"Yolo County, California",13127,1315,34010,2576,59051,3935,93474,5031,186179,12101,305276,31904
2006,0500000US06113,6113,"Yolo County, California",10339,1506,31089,2458,52126,3275,85766,5107,162453,11969,250929,31249
2013,0500000US06115,6115,"Yuba County, California",11914,1911,25773,2378,43191,4722,63799,4641,110195,10115,159312,19957
2012,0500000US06115,6115,"Yuba County, California",11628,1722,26693,2912,44723,4632,69644,6049,124512,15353,187216,28627
2011,0500000US06115,6115,"Yuba County, California",11666,2076,28019,3856,43825,3212,65875,6101,114144,14063,174814,39786
2010,0500000US06115,6115,"Yuba County, California",11583,2300,29235,2681,45932,4990,67532,5695,126096,15142,193563,38297
2009,0500000US06115,6115,"Yuba County, California",12580,1830,26736,2973,43773,5745,66578,6867,133559,18637,211647,53433
2008,0500000US06115,6115,"Yuba County, California",14306,2237,28739,3710,51179,5767,76601,7071,146713,20192,231274,59020
2007,0500000US06115,6115,"Yuba County, California",11691,1909,26667,3556,43475,4252,69052,7604,133977,16321,197964,40360
2006,0500000US06115,6115,"Yuba County, California",9844,1839,22695,2180,37826,4388,61981,5544,116180,10900,173826,30028
