Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied,Margin of Error; Owner occupied,Estimate; Renter occupied,Margin of Error; Renter occupied
0500000US06001,6001,"Alameda County, California",2005,1421308,*****,874025,17673,547283,17673
0500000US06007,6007,"Butte County, California",2005,207937,*****,121799,5584,86138,5584
0500000US06013,6013,"Contra Costa County, California",2005,1006486,*****,735199,17318,271287,17318
0500000US06017,6017,"El Dorado County, California",2005,175790,*****,129692,5397,46098,5397
0500000US06019,6019,"Fresno County, California",2005,858948,*****,488957,14668,369991,14668
0500000US06023,6023,"Humboldt County, California",2005,124031,*****,74884,3485,49147,3485
0500000US06025,6025,"Imperial County, California",2005,144523,*****,85585,6413,58938,6413
0500000US06029,6029,"Kern County, California",2005,724206,*****,461101,15304,263105,15304
0500000US06031,6031,"Kings County, California",2005,121418,*****,66991,5523,54427,5523
0500000US06033,6033,"Lake County, California",2005,63962,*****,47396,4458,16566,4458
0500000US06037,6037,"Los Angeles County, California",2005,9758886,*****,5069949,61548,4688937,61548
0500000US06039,6039,"Madera County, California",2005,134159,*****,92694,5984,41465,5984
0500000US06041,6041,"Marin County, California",2005,235609,*****,161648,6747,73961,6747
0500000US06045,6045,"Mendocino County, California",2005,86011,*****,51226,4127,34785,4127
0500000US06047,6047,"Merced County, California",2005,237278,*****,139522,9189,97756,9189
0500000US06053,6053,"Monterey County, California",2005,389004,*****,214176,11507,174828,11507
0500000US06055,6055,"Napa County, California",2005,127445,*****,86957,4687,40488,4687
0500000US06057,6057,"Nevada County, California",2005,97572,*****,73909,4198,23663,4198
0500000US06059,6059,"Orange County, California",2005,2944537,*****,1856391,30040,1088146,30040
0500000US06061,6061,"Placer County, California",2005,314135,*****,236609,7844,77526,7844
0500000US06065,6065,"Riverside County, California",2005,1911281,*****,1359180,26236,552101,26236
0500000US06067,6067,"Sacramento County, California",2005,1337942,*****,845359,18701,492583,18701
0500000US06071,6071,"San Bernardino County, California",2005,1916665,*****,1275097,24602,641568,24602
0500000US06073,6073,"San Diego County, California",2005,2824259,*****,1687838,29179,1136421,29179
0500000US06075,6075,"San Francisco County, California",2005,719077,*****,320475,11185,398602,11185
0500000US06077,6077,"San Joaquin County, California",2005,646259,*****,410886,14486,235373,14486
0500000US06079,6079,"San Luis Obispo County, California",2005,239638,*****,150369,6261,89269,6261
0500000US06081,6081,"San Mateo County, California",2005,689271,*****,446130,11388,243141,11388
0500000US06083,6083,"Santa Barbara County, California",2005,383393,*****,215137,9648,168256,9648
0500000US06085,6085,"Santa Clara County, California",2005,1669890,*****,1058502,22909,611388,22909
0500000US06087,6087,"Santa Cruz County, California",2005,240367,*****,146662,6694,93705,6694
0500000US06089,6089,"Shasta County, California",2005,176570,*****,116748,4777,59822,4777
0500000US06095,6095,"Solano County, California",2005,395426,*****,274101,8902,121325,8902
0500000US06097,6097,"Sonoma County, California",2005,453850,*****,296034,10777,157816,10777
0500000US06099,6099,"Stanislaus County, California",2005,497804,*****,320913,13052,176891,13052
0500000US06101,6101,"Sutter County, California",2005,87444,*****,60045,3400,27399,3400
0500000US06107,6107,"Tulare County, California",2005,404909,*****,234086,10829,170823,10829
0500000US06111,6111,"Ventura County, California",2005,782759,*****,549331,17280,233428,17280
0500000US06113,6113,"Yolo County, California",2005,176609,*****,103039,5422,73570,5422
0500000US06115,6115,"Yuba County, California",2005,65818,*****,36136,4663,29682,4663
0500000US06001,6001,"Alameda County, California",2006,1426617,1058,870833,17564,555784,17540
0500000US06007,6007,"Butte County, California",2006,211012,407,129924,6271,81088,6244
0500000US06013,6013,"Contra Costa County, California",2006,1011614,538,749665,15679,261949,15689
0500000US06017,6017,"El Dorado County, California",2006,176782,151,137709,5230,39073,5250
0500000US06019,6019,"Fresno County, California",2006,872538,747,488592,14006,383946,14003
0500000US06023,6023,"Humboldt County, California",2006,125270,412,69953,4826,55317,4736
0500000US06025,6025,"Imperial County, California",2006,150460,346,93120,6583,57340,6611
0500000US06029,6029,"Kern County, California",2006,745788,736,462298,14097,283490,14123
0500000US06031,6031,"Kings County, California",2006,128660,637,69972,5442,58688,5464
0500000US06033,6033,"Lake County, California",2006,64997,110,40676,4102,24321,4090
0500000US06037,6037,"Los Angeles County, California",2006,9744896,2963,5091079,44612,4653817,44637
0500000US06039,6039,"Madera County, California",2006,135888,339,78834,6708,57054,6688
0500000US06041,6041,"Marin County, California",2006,238286,439,160458,6308,77828,6332
0500000US06045,6045,"Mendocino County, California",2006,86850,237,56371,4085,30479,4098
0500000US06047,6047,"Merced County, California",2006,240883,464,127693,8858,113190,8811
0500000US06053,6053,"Monterey County, California",2006,390700,728,213813,10037,176887,10038
0500000US06055,6055,"Napa County, California",2006,126591,822,81833,5356,44758,5185
0500000US06057,6057,"Nevada County, California",2006,97752,204,71501,4676,26251,4648
0500000US06059,6059,"Orange County, California",2006,2966572,1207,1868437,27927,1098135,27958
0500000US06061,6061,"Placer County, California",2006,323922,395,244998,6550,78924,6522
0500000US06065,6065,"Riverside County, California",2006,1995866,993,1402130,19143,593736,19159
0500000US06067,6067,"Sacramento County, California",2006,1349868,968,859578,16024,490290,16059
0500000US06071,6071,"San Bernardino County, California",2006,1954906,1491,1333126,21626,621780,21737
0500000US06073,6073,"San Diego County, California",2006,2826027,1657,1656836,26402,1169191,26377
0500000US06075,6075,"San Francisco County, California",2006,723392,946,332769,11305,390623,11252
0500000US06077,6077,"San Joaquin County, California",2006,658095,578,416932,13965,241163,13917
0500000US06079,6079,"San Luis Obispo County, California",2006,239429,675,149031,5938,90398,5861
0500000US06081,6081,"San Mateo County, California",2006,698761,519,461616,11836,237145,11849
0500000US06083,6083,"Santa Barbara County, California",2006,376915,1148,199188,6864,177727,7055
0500000US06085,6085,"Santa Clara County, California",2006,1697425,1807,1075053,19505,622372,19297
0500000US06087,6087,"Santa Cruz County, California",2006,241652,260,146864,7151,94788,7161
0500000US06089,6089,"Shasta County, California",2006,177162,220,113637,6660,63525,6716
0500000US06095,6095,"Solano County, California",2006,396235,602,266077,8657,130158,8698
0500000US06097,6097,"Sonoma County, California",2006,455912,727,289437,8353,166475,8291
0500000US06099,6099,"Stanislaus County, California",2006,506039,486,335864,12440,170175,12443
0500000US06101,6101,"Sutter County, California",2006,91410,289,59398,3534,32012,3534
0500000US06107,6107,"Tulare County, California",2006,413258,866,245807,10247,167451,10173
0500000US06111,6111,"Ventura County, California",2006,788566,564,550918,14322,237648,14397
0500000US06113,6113,"Yolo County, California",2006,183307,247,103022,4550,80285,4538
0500000US06115,6115,"Yuba County, California",2006,68731,626,37444,4217,31287,4133
0500000US06001,6001,"Alameda County, California",2007,1424939,1831,866460,17285,558479,16985
0500000US06007,6007,"Butte County, California",2007,214682,308,124735,5770,89947,5748
0500000US06013,6013,"Contra Costa County, California",2007,1010330,737,734722,11906,275608,11894
0500000US06017,6017,"El Dorado County, California",2007,174944,91,129807,5522,45137,5531
0500000US06019,6019,"Fresno County, California",2007,883216,476,494411,15740,388805,15791
0500000US06023,6023,"Humboldt County, California",2007,123691,309,74274,4237,49417,4235
0500000US06025,6025,"Imperial County, California",2007,150394,241,80290,5814,70104,5825
0500000US06029,6029,"Kern County, California",2007,750032,755,464319,14911,285713,14833
0500000US06031,6031,"Kings County, California",2007,128729,873,73087,5909,55642,5759
0500000US06033,6033,"Lake County, California",2007,63848,97,48482,3919,15366,3897
0500000US06037,6037,"Los Angeles County, California",2007,9698721,2457,5016669,45592,4682052,45180
0500000US06039,6039,"Madera County, California",2007,137370,463,83377,6162,53993,6222
0500000US06041,6041,"Marin County, California",2007,237923,910,161324,5912,76599,5994
0500000US06045,6045,"Mendocino County, California",2007,84704,367,55119,4110,29585,4117
0500000US06047,6047,"Merced County, California",2007,243545,169,139476,9224,104069,9215
0500000US06053,6053,"Monterey County, California",2007,389480,304,205323,10282,184157,10300
0500000US06055,6055,"Napa County, California",2007,126107,482,84258,4435,41849,4310
0500000US06057,6057,"Nevada County, California",2007,96116,107,67178,4304,28938,4315
0500000US06059,6059,"Orange County, California",2007,2954771,1284,1860354,22475,1094417,22576
0500000US06061,6061,"Placer County, California",2007,327721,782,241064,6444,86657,6488
0500000US06065,6065,"Riverside County, California",2007,2043499,816,1444954,24577,598545,24696
0500000US06067,6067,"Sacramento County, California",2007,1357069,851,860759,16553,496310,16437
0500000US06071,6071,"San Bernardino County, California",2007,1961784,1114,1304268,22856,657516,22747
0500000US06073,6073,"San Diego County, California",2007,2867803,2215,1636375,24366,1231428,24366
0500000US06075,6075,"San Francisco County, California",2007,748613,874,334888,12821,413725,12673
0500000US06077,6077,"San Joaquin County, California",2007,648747,1145,417359,14837,231388,14839
0500000US06079,6079,"San Luis Obispo County, California",2007,243636,1402,146475,6951,97161,6748
0500000US06081,6081,"San Mateo County, California",2007,697251,627,445607,11431,251644,11474
0500000US06083,6083,"Santa Barbara County, California",2007,385230,699,206353,8029,178877,8091
0500000US06085,6085,"Santa Clara County, California",2007,1711713,2683,1081431,19436,630282,18755
0500000US06087,6087,"Santa Cruz County, California",2007,243362,459,148608,7261,94754,7143
0500000US06089,6089,"Shasta County, California",2007,177390,196,117541,5299,59849,5290
0500000US06095,6095,"Solano County, California",2007,395923,318,267391,7897,128532,7886
0500000US06097,6097,"Sonoma County, California",2007,453255,739,282679,7891,170576,8052
0500000US06099,6099,"Stanislaus County, California",2007,501967,966,321641,11554,180326,11372
0500000US06101,6101,"Sutter County, California",2007,91476,68,59582,3971,31894,3968
0500000US06107,6107,"Tulare County, California",2007,414714,537,236571,9239,178143,9131
0500000US06111,6111,"Ventura County, California",2007,788889,612,548001,11332,240888,11424
0500000US06113,6113,"Yolo County, California",2007,189628,184,109832,5443,79796,5443
0500000US06115,6115,"Yuba County, California",2007,71088,187,36240,4217,34848,4188
0500000US06001,6001,"Alameda County, California",2008,1442926,7914,862554,20625,580372,20273
0500000US06007,6007,"Butte County, California",2008,214871,2300,125846,5557,89025,5668
0500000US06013,6013,"Contra Costa County, California",2008,1018500,3352,718971,13400,299529,13473
0500000US06017,6017,"El Dorado County, California",2008,175283,967,127868,5475,47415,5372
0500000US06019,6019,"Fresno County, California",2008,887523,7062,468688,18154,418835,17301
0500000US06023,6023,"Humboldt County, California",2008,124228,2258,66789,4678,57439,4726
0500000US06025,6025,"Imperial County, California",2008,153766,986,87391,5857,66375,5977
0500000US06029,6029,"Kern County, California",2008,756377,6661,459036,15344,297341,16244
0500000US06031,6031,"Kings County, California",2008,130511,5695,69335,5721,61176,5824
0500000US06033,6033,"Lake County, California",2008,63416,1466,38152,4410,25264,4313
0500000US06037,6037,"Los Angeles County, California",2008,9668615,14554,4947910,53365,4720705,53604
0500000US06039,6039,"Madera County, California",2008,135851,3802,75462,6094,60389,5500
0500000US06041,6041,"Marin County, California",2008,240907,1803,161414,6563,79493,6584
0500000US06045,6045,"Mendocino County, California",2008,84874,1293,52293,4206,32581,4107
0500000US06047,6047,"Merced County, California",2008,242758,1863,133604,8228,109154,8512
0500000US06053,6053,"Monterey County, California",2008,390616,2786,201786,9950,188830,10481
0500000US06055,6055,"Napa County, California",2008,128059,3306,84917,6302,43142,5727
0500000US06057,6057,"Nevada County, California",2008,96790,542,70510,4181,26280,4136
0500000US06059,6059,"Orange County, California",2008,2964403,10454,1817190,26678,1147213,27336
0500000US06061,6061,"Placer County, California",2008,337694,3046,252816,7370,84878,6661
0500000US06065,6065,"Riverside County, California",2008,2073707,4145,1412507,23942,661200,25198
0500000US06067,6067,"Sacramento County, California",2008,1362630,5534,819876,15094,542754,15162
0500000US06071,6071,"San Bernardino County, California",2008,1970896,6771,1261766,26082,709130,26305
0500000US06073,6073,"San Diego County, California",2008,2883850,14545,1665536,24318,1218314,23115
0500000US06075,6075,"San Francisco County, California",2008,793042,3958,367393,12961,425649,13475
0500000US06077,6077,"San Joaquin County, California",2008,651225,9362,389817,14867,261408,13769
0500000US06079,6079,"San Luis Obispo County, California",2008,251209,2710,159250,6306,91959,6395
0500000US06081,6081,"San Mateo County, California",2008,698264,6053,438422,13641,259842,13215
0500000US06083,6083,"Santa Barbara County, California",2008,389237,3196,205042,10095,184195,9635
0500000US06085,6085,"Santa Clara County, California",2008,1733604,6788,1077481,20723,656123,20402
0500000US06087,6087,"Santa Cruz County, California",2008,248825,1645,147888,7135,100937,7134
0500000US06089,6089,"Shasta County, California",2008,178273,1493,116567,6940,61706,6875
0500000US06095,6095,"Solano County, California",2008,396699,1412,256836,8888,139863,8951
0500000US06097,6097,"Sonoma County, California",2008,456778,3615,294334,8474,162444,9196
0500000US06099,6099,"Stanislaus County, California",2008,502693,4225,325425,11442,177268,11283
0500000US06101,6101,"Sutter County, California",2008,91291,1073,54298,4088,36993,4194
0500000US06107,6107,"Tulare County, California",2008,421718,1883,245715,10934,176003,10856
0500000US06111,6111,"Ventura County, California",2008,788097,5766,519185,13869,268912,14198
0500000US06113,6113,"Yolo County, California",2008,189108,8074,100154,7450,88954,8447
0500000US06115,6115,"Yuba County, California",2008,72659,670,40959,4618,31700,4619
0500000US06001,6001,"Alameda County, California",2009,1466622,4802,840940,16125,625682,17162
0500000US06007,6007,"Butte County, California",2009,215825,2149,132955,6671,82870,6846
0500000US06013,6013,"Contra Costa County, California",2009,1031159,3324,698486,17176,332673,16560
0500000US06017,6017,"El Dorado County, California",2009,176935,1489,139836,4908,37099,4701
0500000US06019,6019,"Fresno County, California",2009,889241,7380,467127,13914,422114,14740
0500000US06023,6023,"Humboldt County, California",2009,125980,1807,73794,4228,52186,4255
0500000US06025,6025,"Imperial County, California",2009,156838,1198,95219,5912,61619,6068
0500000US06029,6029,"Kern County, California",2009,773070,2889,453438,15598,319632,16320
0500000US06031,6031,"Kings County, California",2009,132620,2456,69623,6328,62997,6704
0500000US06033,6033,"Lake County, California",2009,64176,1292,40232,3959,23944,3751
0500000US06037,6037,"Los Angeles County, California",2009,9644382,10490,4896389,48991,4747993,49646
0500000US06039,6039,"Madera County, California",2009,142371,1211,86203,5885,56168,5704
0500000US06041,6041,"Marin County, California",2009,241985,2752,154866,6372,87119,6090
0500000US06045,6045,"Mendocino County, California",2009,84648,1748,52843,3607,31805,3683
0500000US06047,6047,"Merced County, California",2009,240416,2673,128392,7600,112024,7387
0500000US06053,6053,"Monterey County, California",2009,392729,2937,191669,9423,201060,10017
0500000US06055,6055,"Napa County, California",2009,131855,2225,81021,6051,50834,5765
0500000US06057,6057,"Nevada County, California",2009,96688,1238,74134,4061,22554,3813
0500000US06059,6059,"Orange County, California",2009,2980857,6750,1764134,25517,1216723,25963
