Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 10.0 percent,Margin of Error; Total: - Less than 10.0 percent,Estimate; Total: - 10.0 to 14.9 percent,Margin of Error; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Margin of Error; Total: - 15.0 to 19.9 percent,Estimate; Total: - 20.0 to 24.9 percent,Margin of Error; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Margin of Error; Total: - 25.0 to 29.9 percent,Estimate; Total: - 30.0 to 34.9 percent,Margin of Error; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Margin of Error; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Margin of Error; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Margin of Error; Total: - 50.0 percent or more,Estimate; Total: - Not computed,Margin of Error; Total: - Not computed
0500000US06101,6101,"Sutter County, California",2011,11801,1529,223,197,643,355,1225,689,1431,600,765,472,1304,551,1215,566,994,420,2734,760,1267,586
0500000US06107,6107,"Tulare County, California",2011,55543,2541,1496,604,3292,1027,5518,1764,6730,1176,5461,1339,6496,1372,2870,775,5867,1441,13692,1673,4121,926
0500000US06111,6111,"Ventura County, California",2011,91958,3572,992,450,5081,1121,7735,1411,13514,2195,10800,1674,9452,1552,6465,1332,8694,1551,25962,2583,3263,879
0500000US06113,6113,"Yolo County, California",2011,32299,2196,415,329,1590,651,2694,916,3215,1079,2500,772,3076,891,3033,1106,3193,1122,10893,1399,1690,632
0500000US06115,6115,"Yuba County, California",2011,10421,1468,346,387,1480,627,836,468,1218,633,1228,625,678,339,491,358,964,542,2150,717,1030,452
0500000US06001,6001,"Alameda County, California",2010,250630,5892,6523,1388,17828,2179,29377,2848,28730,2518,28606,2741,22558,2513,17187,2317,20620,2443,68217,3818,10984,1856
0500000US06007,6007,"Butte County, California",2010,34304,2433,593,384,1329,616,2963,943,4753,1228,3098,976,4248,1206,2100,784,4170,1276,9262,1432,1788,752
0500000US06013,6013,"Contra Costa County, California",2010,124857,5397,2275,813,7126,1484,12044,1980,15071,2756,17085,2133,10196,1848,9930,1706,11692,1835,33544,3082,5894,1329
0500000US06017,6017,"El Dorado County, California",2010,15937,2081,416,468,918,491,1046,589,1300,730,2036,1006,1648,719,915,487,1217,511,5311,1424,1130,553
0500000US06019,6019,"Fresno County, California",2010,130407,4533,4203,1102,8377,1398,13726,2073,14591,2153,11528,1884,9264,1782,7583,1165,10291,1892,42493,2702,8351,1409
0500000US06023,6023,"Humboldt County, California",2010,23420,2073,474,385,1279,570,1814,738,2012,754,2318,770,2763,1101,1739,733,2751,1095,6953,1313,1317,639
0500000US06025,6025,"Imperial County, California",2010,20259,1729,883,552,937,505,2297,905,1990,784,2852,853,1347,592,1420,614,1438,668,5584,1062,1511,563
0500000US06029,6029,"Kern County, California",2010,103345,4129,2737,942,7603,1423,9775,1650,11178,1834,10144,1501,9371,1775,7640,1720,8082,1524,29631,2756,7184,1432
0500000US06031,6031,"Kings County, California",2010,19865,1745,402,375,1803,724,1400,658,3025,908,2148,790,1881,787,1245,516,1082,725,4667,1026,2212,914
0500000US06033,6033,"Lake County, California",2010,8551,1710,281,358,188,234,548,413,650,432,693,471,888,530,825,674,957,682,2992,1088,529,345
0500000US06037,6037,"Los Angeles County, California",2010,1700905,14777,35634,3063,96233,5368,167292,6629,176472,6848,186444,6077,145074,6212,129215,6271,170885,5920,514006,10991,79650,5041
0500000US06039,6039,"Madera County, California",2010,16720,2092,504,504,2160,881,2031,859,1863,812,1126,539,1052,563,827,392,1525,705,4001,1241,1631,744
0500000US06041,6041,"Marin County, California",2010,36263,2655,2179,698,2032,695,3520,990,3313,922,3171,866,2810,913,4015,1186,2817,938,11151,1968,1255,475
0500000US06045,6045,"Mendocino County, California",2010,14739,1677,298,283,986,498,1209,546,1222,589,1716,720,1183,477,1017,491,2168,913,3600,1011,1340,706
0500000US06047,6047,"Merced County, California",2010,33551,2467,662,473,2725,822,2841,841,3717,1022,3903,969,2909,946,1460,753,3472,1019,9138,1659,2724,812
0500000US06053,6053,"Monterey County, California",2010,61552,3144,1100,634,3282,946,6513,1410,6950,1493,7279,1366,6352,1641,4861,1151,6870,1180,16068,1828,2277,832
0500000US06055,6055,"Napa County, California",2010,18806,1866,439,283,884,465,1978,831,2164,987,2683,850,1857,622,1094,448,1416,659,5643,1063,648,385
0500000US06057,6057,"Nevada County, California",2010,12573,1814,139,172,370,342,1236,674,1048,596,958,562,1110,635,1028,576,2339,866,3122,988,1223,619
0500000US06059,6059,"Orange County, California",2010,401983,7249,7759,1614,21384,2532,38189,3273,47785,4247,46160,3518,42577,3301,29762,2742,39024,3488,113860,4846,15483,1985
0500000US06061,6061,"Placer County, California",2010,37884,3175,1134,601,3016,1020,3127,1162,5230,1473,3844,1089,3755,1170,1880,792,4134,1095,9347,1498,2417,859
0500000US06065,6065,"Riverside County, California",2010,211802,6293,3957,1255,9994,1877,19344,2602,21960,2283,20302,2292,18755,2367,17181,2294,23182,2919,68140,3925,8987,1737
0500000US06067,6067,"Sacramento County, California",2010,220149,6521,5303,1164,9148,1604,24474,2726,23245,2557,24963,2974,20534,2748,16768,2192,22109,2433,64514,3369,9091,1466
0500000US06071,6071,"San Bernardino County, California",2010,222440,6787,4089,1027,12008,1759,21897,2927,24110,2605,21026,2964,19964,2069,18189,2081,26737,2709,64344,4152,10076,1750
0500000US06073,6073,"San Diego County, California",2010,488810,8262,8582,1873,24305,2882,44812,3284,58356,3803,55280,3850,44799,3143,36215,3491,52802,4039,138882,4981,24777,2842
0500000US06075,6075,"San Francisco County, California",2010,212884,5751,8473,1437,25839,3304,26271,2309,25127,2386,23166,3016,19603,2838,11280,1554,16504,2580,46121,3711,10500,2134
0500000US06077,6077,"San Joaquin County, California",2010,91225,4294,1234,503,4459,1203,7614,1490,9584,1761,11290,1834,9329,1712,6510,1164,9011,1619,26990,2240,5204,1318
0500000US06079,6079,"San Luis Obispo County, California",2010,39791,2841,812,548,1827,742,3461,1009,4025,1048,4154,1111,3173,1046,3560,1167,4068,1181,11800,1729,2911,847
0500000US06081,6081,"San Mateo County, California",2010,105151,3721,2369,887,8360,1604,15190,2323,14452,1965,12262,2088,10072,1653,6773,1382,9667,1822,21466,2442,4540,1231
0500000US06083,6083,"Santa Barbara County, California",2010,65696,2952,1201,582,3671,959,6918,1402,7256,1416,7278,1472,4535,1169,3629,1032,5273,1214,20979,2333,4956,1154
0500000US06085,6085,"Santa Clara County, California",2010,256280,5605,8666,1490,27617,2844,35384,3322,29917,2668,27507,3050,23888,2770,13892,1853,20188,2205,59775,3498,9446,1489
0500000US06087,6087,"Santa Cruz County, California",2010,37055,3689,407,249,1502,744,3490,926,4166,1194,4399,1223,5091,1358,1832,630,3100,1050,10382,1837,2686,944
0500000US06089,6089,"Shasta County, California",2010,23214,1968,500,369,1419,635,1234,619,2636,876,2320,891,1779,803,1853,809,2169,615,7828,1550,1476,639
0500000US06095,6095,"Solano County, California",2010,52587,3052,820,430,2699,1102,5037,1145,7886,1633,5850,1226,4715,1322,3641,1231,4816,1316,14707,1785,2416,928
0500000US06097,6097,"Sonoma County, California",2010,74758,2896,1262,616,3071,887,6598,1376,10013,1878,8522,1549,6214,1281,6691,1427,7546,1352,21001,2456,3840,967
0500000US06099,6099,"Stanislaus County, California",2010,67163,3214,787,423,4205,1196,5590,1127,7381,1454,8247,1839,4464,1021,3828,1050,5109,1168,22557,2302,4995,1032
0500000US06101,6101,"Sutter County, California",2010,14108,1307,210,211,1096,578,2471,843,1927,782,1860,882,1462,617,475,351,1174,530,2623,908,810,366
0500000US06107,6107,"Tulare County, California",2010,53677,2982,2001,688,4204,890,4869,1054,6421,1230,5018,1250,3792,906,3537,1038,5745,1197,14559,1877,3531,741
0500000US06111,6111,"Ventura County, California",2010,95780,4870,2036,885,4845,1285,10105,1566,11129,1425,12888,1873,9041,1390,5811,1249,11743,1835,24780,2869,3402,862
0500000US06113,6113,"Yolo County, California",2010,30722,3524,528,327,1544,696,1616,627,4441,1258,3354,991,3414,1166,1925,902,2902,793,9737,2553,1261,504
0500000US06115,6115,"Yuba County, California",2010,8193,1425,0,294,174,180,770,510,1380,542,1154,654,688,421,667,385,858,397,1911,608,591,306
0500000US06001,6001,"Alameda County, California",2009,237574,5884,5809,1180,19304,2547,30046,2816,30546,2960,32394,3412,22530,2493,14099,2450,19275,2273,55959,4090,7612,1496
0500000US06007,6007,"Butte County, California",2009,32602,2421,571,431,1415,710,3547,1110,2981,909,4757,1163,2758,858,2165,716,2113,826,10003,1565,2292,676
0500000US06013,6013,"Contra Costa County, California",2009,117223,5428,2650,936,5997,1408,12940,2106,15824,2472,14673,2331,10084,1674,9476,2068,11904,2292,28924,2934,4751,1310
0500000US06017,6017,"El Dorado County, California",2009,14176,1942,422,330,865,545,1165,605,1593,653,1333,657,1664,721,851,417,2010,750,3038,1012,1235,606
0500000US06019,6019,"Fresno County, California",2009,128342,3864,4471,1271,8790,1698,13298,2156,13693,1984,12692,1873,11002,1740,8318,1693,13290,2082,34176,2983,8612,1362
0500000US06023,6023,"Humboldt County, California",2009,23224,1577,71,87,1083,641,1944,531,1754,652,2075,708,2041,777,1400,721,2114,948,9273,1447,1469,684
0500000US06025,6025,"Imperial County, California",2009,19944,1950,1220,562,1365,623,1298,475,1443,516,2612,858,1429,665,1353,497,1634,751,5871,1098,1719,571
0500000US06029,6029,"Kern County, California",2009,96434,4698,3003,1117,6688,1488,10323,1778,9054,1659,10799,1731,6273,1541,7105,1705,10745,1808,26664,2332,5780,1225
0500000US06031,6031,"Kings County, California",2009,19087,1801,415,301,1767,676,2485,798,2491,1086,2151,756,1381,617,770,465,1410,582,4226,1013,1991,656
0500000US06033,6033,"Lake County, California",2009,8923,1429,207,257,155,180,340,288,329,273,843,595,1508,682,445,384,1167,594,3415,1085,514,422
0500000US06037,6037,"Los Angeles County, California",2009,1651764,14842,38896,3278,104501,6137,163753,7891,186975,7094,187123,7503,139929,6672,115030,5310,160917,6080,482082,10983,72558,4328
0500000US06039,6039,"Madera County, California",2009,15647,1583,509,409,824,476,1244,522,1423,647,1926,777,1449,604,1975,755,1826,928,2762,828,1709,691
0500000US06041,6041,"Marin County, California",2009,38217,2469,1056,469,3465,1129,4542,1165,3427,1060,3767,1043,4145,1334,2254,836,4032,1121,10672,1854,857,413
0500000US06045,6045,"Mendocino County, California",2009,12486,1598,670,525,951,491,873,429,1233,637,1572,760,761,399,569,396,931,439,4054,1025,872,518
0500000US06047,6047,"Merced County, California",2009,34219,2459,321,220,1911,772,3583,1151,3006,908,4375,1050,2424,814,2682,929,3829,902,8776,1435,3312,830
0500000US06053,6053,"Monterey County, California",2009,63460,2797,532,273,4494,1159,6917,1258,7292,1327,8378,1541,6051,1545,4791,1044,6135,1235,15442,2183,3428,981
0500000US06055,6055,"Napa County, California",2009,17716,1879,339,259,856,598,2202,854,2547,813,2530,882,1417,608,1783,755,910,558,4377,1098,755,388
0500000US06057,6057,"Nevada County, California",2009,9398,1496,205,229,419,250,611,442,832,584,990,676,1200,478,630,481,1291,667,2625,835,595,404
0500000US06059,6059,"Orange County, California",2009,389030,7282,8584,1621,21452,2786,40722,3087,48876,3983,50672,4063,37770,3463,26082,2606,39587,3478,99068,4697,16217,1953
0500000US06061,6061,"Placer County, California",2009,35908,2558,126,129,1642,798,4244,1167,4692,1066,5080,1111,3858,1274,3203,978,3609,1103,7906,1363,1548,743
0500000US06065,6065,"Riverside County, California",2009,209259,6840,3655,1136,8213,1535,19219,2558,24521,2568,25418,2656,21416,2649,13004,1864,20867,2263,60901,4150,12045,1963
0500000US06067,6067,"Sacramento County, California",2009,214776,5894,3971,966,14074,2190,23152,2453,22708,2701,25544,2503,18919,2129,18783,2477,22653,2926,56178,3641,8794,1713
0500000US06071,6071,"San Bernardino County, California",2009,214620,6266,4768,1319,10574,1958,18964,2638,26160,3259,23499,2678,18990,2186,16075,2505,25177,2875,58944,3696,11469,2000
0500000US06073,6073,"San Diego County, California",2009,470188,6384,9699,1442,22690,2335,47042,3612,55057,3398,51487,3527,48471,4346,37905,3030,52033,3810,126914,5561,18890,2186
0500000US06075,6075,"San Francisco County, California",2009,202406,4190,10857,1797,20237,2542,27548,2596,24513,3128,23063,2395,15014,2194,13313,1929,15460,2063,43050,3392,9351,1538
0500000US06077,6077,"San Joaquin County, California",2009,81533,4457,2379,871,3483,1116,8007,1542,9897,1706,9351,1761,6495,1358,6582,1608,7724,1770,23270,2613,4345,929
0500000US06079,6079,"San Luis Obispo County, California",2009,39231,2671,919,488,2212,818,3799,1170,3560,1278,4219,1049,2719,815,3155,982,3573,1220,13466,1882,1609,662
0500000US06081,6081,"San Mateo County, California",2009,98032,4147,2346,789,9478,1496,12926,2122,12465,1797,9657,1417,8002,1563,7120,1468,8587,1547,24348,2755,3103,873
0500000US06083,6083,"Santa Barbara County, California",2009,65842,3203,1459,674,3135,837,6087,1452,8210,1588,7689,1399,5218,1183,6031,1528,7383,1485,17472,1995,3158,842
0500000US06085,6085,"Santa Clara County, California",2009,242273,6323,8861,1685,23079,2710,29369,2884,36150,2618,28426,2657,19892,2586,14129,1867,18317,2284,53388,3577,10662,1750
0500000US06087,6087,"Santa Cruz County, California",2009,36212,2482,934,676,2821,1034,3826,955,2243,752,4018,1107,3253,1009,2581,966,3318,1053,11221,1752,1997,809
0500000US06089,6089,"Shasta County, California",2009,24762,2044,633,594,1756,731,1753,668,2689,962,3143,1021,1521,608,2023,911,1689,660,7158,1493,2397,786
0500000US06095,6095,"Solano County, California",2009,47862,2678,795,406,2006,693,6834,1696,6119,1424,4296,1081,4070,1272,3290,970,4318,1045,14038,1873,2096,807
0500000US06097,6097,"Sonoma County, California",2009,70941,3408,1534,715,4671,1511,8142,1485,8420,1638,9058,1639,5751,1460,5395,1370,5938,1254,18044,2344,3988,1027
0500000US06099,6099,"Stanislaus County, California",2009,64951,3767,668,398,4101,1268,8268,1699,6845,1340,5832,1335,5989,1297,4931,1399,5745,1171,18705,2402,3867,984
0500000US06101,6101,"Sutter County, California",2009,11516,1473,314,220,567,374,1595,652,1993,560,1319,618,782,460,684,496,1037,531,2774,805,451,339
0500000US06107,6107,"Tulare County, California",2009,54201,2830,1707,653,3668,1071,5417,1492,7462,1543,5173,1255,4172,1189,4136,1165,4532,1109,14589,2165,3345,898
0500000US06111,6111,"Ventura County, California",2009,90941,3684,1729,819,5284,1080,10252,1801,10092,1726,9777,1735,7116,1516,7568,1475,9951,2246,25378,2769,3794,821
0500000US06113,6113,"Yolo County, California",2009,29545,2304,779,391,1309,624,3163,838,3223,1019,2982,909,3176,977,1647,683,2697,925,8899,1473,1670,657
0500000US06115,6115,"Yuba County, California",2009,9326,1477,284,238,166,164,1140,583,804,557,350,309,1229,530,1193,742,929,564,2363,907,868,502
0500000US06001,6001,"Alameda County, California",2008,228751,5741,6554,1667,18434,2297,26423,2718,27961,2681,25168,2624,18716,2138,14525,1829,20142,2354,60857,3445,9971,1550
0500000US06007,6007,"Butte County, California",2008,36560,2391,1002,510,833,402,3609,1130,4435,1211,3335,884,3056,953,2047,773,4445,1337,11995,1755,1803,637
0500000US06013,6013,"Contra Costa County, California",2008,114412,4807,2789,916,6848,1156,12719,1935,13388,2059,11714,1909,10042,1941,7481,1588,11510,2010,32298,3105,5623,1337
0500000US06017,6017,"El Dorado County, California",2008,18818,1909,558,427,1394,776,1450,678,3845,1297,1843,847,1525,794,1138,724,1728,705,4571,1422,766,344
0500000US06019,6019,"Fresno County, California",2008,129165,4378,4991,1119,9890,1631,11850,1911,13577,2144,12254,1702,11819,2113,8092,1482,12340,1829,38129,3059,6223,1548
0500000US06023,6023,"Humboldt County, California",2008,24356,1860,400,343,1040,439,2671,846,3442,876,2308,935,1549,574,1527,593,2244,803,7475,1197,1700,580
0500000US06025,6025,"Imperial County, California",2008,21095,1891,660,373,2147,1043,2098,775,2362,811,2050,841,1820,820,1115,556,3091,1004,4462,1086,1290,504
0500000US06029,6029,"Kern County, California",2008,98718,4748,5351,1587,6616,1617,10290,1664,8682,1636,8736,1515,8018,1522,6102,1290,11500,1759,27717,3039,5706,1350
0500000US06031,6031,"Kings County, California",2008,18086,1625,1244,590,1736,707,2941,982,1597,621,1397,546,2338,799,1639,809,836,404,2701,786,1657,653
0500000US06033,6033,"Lake County, California",2008,8885,1642,43,73,813,547,452,387,1354,757,730,520,526,408,730,598,1417,871,2016,878,804,627
0500000US06037,6037,"Los Angeles County, California",2008,1639800,13653,43669,3481,108354,6477,168190,7079,183021,7649,179386,6884,146433,6309,108644,5525,169531,7706,467044,11946,65528,4660
0500000US06039,6039,"Madera County, California",2008,16914,1700,545,507,479,281,1725,722,2027,925,1588,757,2320,968,881,518,1191,568,3977,1287,2181,754
0500000US06041,6041,"Marin County, California",2008,35808,2635,1117,504,1489,516,3793,1036,5184,1153,3646,880,4275,1417,2541,910,2561,888,9624,1685,1578,768
0500000US06045,6045,"Mendocino County, California",2008,13349,1605,421,443,755,396,475,305,1714,720,1464,704,732,393,603,416,691,412,5252,1268,1242,607
0500000US06047,6047,"Merced County, California",2008,33851,2126,1887,912,1985,899,3531,1046,3010,936,3054,884,3004,959,2001,703,2944,1023,9590,1305,2845,865
0500000US06053,6053,"Monterey County, California",2008,60627,3048,1218,557,4254,1092,8755,1525,7590,1535,9090,1595,6430,1659,5242,1183,4521,999,10851,1713,2676,927
0500000US06055,6055,"Napa County, California",2008,16286,1798,719,444,869,504,1729,843,1457,831,2226,759,1626,672,970,792,1556,762,4547,1060,587,408
0500000US06057,6057,"Nevada County, California",2008,12353,1626,188,182,304,246,961,580,1729,834,2023,990,589,409,1721,746,1489,885,2780,946,569,348
0500000US06059,6059,"Orange County, California",2008,378613,7205,7541,1499,22191,2814,40414,3573,47650,3781,45210,3374,36469,2885,31527,2901,35877,3031,96743,4077,14991,2142
0500000US06061,6061,"Placer County, California",2008,34540,2679,441,326,1562,741,3500,1082,4443,1171,6097,1315,3779,1154,2064,1039,3064,951,8523,1978,1067,463
0500000US06065,6065,"Riverside County, California",2008,209250,6483,3869,948,7752,1392,18519,2550,21884,2691,25825,3262,17392,2174,16495,2487,25089,3066,64272,4692,8153,1298
0500000US06067,6067,"Sacramento County, California",2008,204149,5775,4600,1239,14439,1647,21517,2169,26321,2633,27476,2472,19535,2415,16326,2334,19187,2437,47610,3827,7138,1433
0500000US06071,6071,"San Bernardino County, California",2008,215082,6908,5140,1417,12367,1967,22900,3300,23641,3130,20961,2612,18356,2692,15564,2249,19657,2599,65204,3889,11292,1996
0500000US06073,6073,"San Diego County, California",2008,452651,8696,10753,1956,27098,2684,43907,3643,59983,4450,50461,3607,42972,4016,29230,2522,44558,3446,121773,6206,21916,2635
0500000US06075,6075,"San Francisco County, California",2008,195714,5676,11141,1669,23120,2363,27936,2634,22230,2572,22976,2815,17663,2188,10216,1639,13632,2141,38503,2726,8297,1367
0500000US06077,6077,"San Joaquin County, California",2008,83894,3495,2043,740,4614,1102,7655,1490,9887,1546,9162,1494,7731,1502,5124,1204,7518,1408,24435,2723,5725,1414
0500000US06079,6079,"San Luis Obispo County, California",2008,37215,2864,1713,972,2577,998,3381,1299,3839,1085,4032,1111,2612,933,1693,695,3715,1039,11415,1771,2238,729
0500000US06081,6081,"San Mateo County, California",2008,100369,4269,2618,747,9503,1709,14137,1964,12926,2270,11855,2175,9016,1748,6717,1324,8476,1748,20891,2570,4230,1223
0500000US06083,6083,"Santa Barbara County, California",2008,64084,3177,1038,575,2977,923,5719,1336,8455,1629,6661,1442,5588,1433,5527,1295,7152,1406,17343,2202,3624,1012
0500000US06085,6085,"Santa Clara County, California",2008,232767,5704,10053,1718,22828,2536,33614,2876,32350,2595,26021,2443,21082,2468,13867,2448,17552,2088,46106,3334,9294,1673
0500000US06087,6087,"Santa Cruz County, California",2008,37760,2297,1157,695,1986,749,4354,1187,4437,1154,3908,991,3287,968,2923,1043,3408,997,10490,1769,1810,786
0500000US06089,6089,"Shasta County, California",2008,24438,2239,369,479,1161,580,1329,564,2590,996,3322,1059,2494,1101,1443,703,2127,733,7852,1700,1751,709
0500000US06095,6095,"Solano County, California",2008,49056,2903,1234,634,3405,1236,4937,1109,6289,1479,6411,1342,5567,1401,4087,1081,3841,1117,11122,1842,2163,672
0500000US06097,6097,"Sonoma County, California",2008,66159,3152,1570,660,3571,1022,6769,1378,7817,1601,8539,1540,5400,1482,4511,1247,6630,1329,17047,1840,4305,1012
0500000US06099,6099,"Stanislaus County, California",2008,60806,3339,1521,735,3466,1119,6364,1606,6003,1479,6702,1453,7051,1387,3694,1064,4441,1187,18205,1931,3359,913
0500000US06101,6101,"Sutter County, California",2008,12286,1373,574,342,554,292,927,467,1384,531,1304,568,1057,481,800,573,849,384,3746,1111,1091,488
0500000US06107,6107,"Tulare County, California",2008,50961,3130,2499,987,3448,831,5557,1267,6154,1284,5383,1301,4566,1119,4326,1097,3652,1079,11584,2118,3792,967
