Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; With a mortgage:,Margin of Error; With a mortgage:,Estimate; With a mortgage: - Less than 2.0,Margin of Error; With a mortgage: - Less than 2.0,Estimate; With a mortgage: - 2.0 to 2.9,Margin of Error; With a mortgage: - 2.0 to 2.9,Estimate; With a mortgage: - 3.0 to 3.9,Margin of Error; With a mortgage: - 3.0 to 3.9,Estimate; With a mortgage: - 4.0 or more,Margin of Error; With a mortgage: - 4.0 or more,Estimate; With a mortgage: - Not computed,Margin of Error; With a mortgage: - Not computed,Estimate; Not mortgaged:,Margin of Error; Not mortgaged:,Estimate; Not mortgaged: - Less than 2.0,Margin of Error; Not mortgaged: - Less than 2.0,Estimate; Not mortgaged: - 2.0 to 2.9,Margin of Error; Not mortgaged: - 2.0 to 2.9,Estimate; Not mortgaged: - 3.0 to 3.9,Margin of Error; Not mortgaged: - 3.0 to 3.9,Estimate; Not mortgaged: - 4.0 or more,Margin of Error; Not mortgaged: - 4.0 or more,Estimate; Not mortgaged: - Not computed,Margin of Error; Not mortgaged: - Not computed
0500000US06113,6113,"Yolo County, California",2010,37863,2183,27412,2175,5197,1177,6416,1168,5536,1011,10263,1482,0,294,10451,1252,2221,721,917,490,1284,615,5848,962,181,199
0500000US06115,6115,"Yuba County, California",2010,14982,1451,10881,1181,3988,1024,2562,906,1674,536,2657,974,0,294,4101,928,1444,555,325,234,33,58,2206,761,93,119
0500000US06001,6001,"Alameda County, California",2011,289222,5684,222697,5513,22925,2423,40655,3449,44350,3043,114098,4794,669,409,66525,3269,7133,1342,6300,1235,7134,1226,45017,2898,941,636
0500000US06007,6007,"Butte County, California",2011,48746,2448,31909,2586,6615,1375,6838,1210,4387,1125,13746,1634,323,260,16837,1758,4241,867,1969,689,2340,871,8208,1216,79,101
0500000US06013,6013,"Contra Costa County, California",2011,246590,5513,190712,5751,32303,3195,45225,3406,32552,2919,79766,4350,866,469,55878,3863,7368,1314,5714,1132,6054,1299,36445,3099,297,179
0500000US06017,6017,"El Dorado County, California",2011,48985,2549,36227,2414,6137,1376,7038,1423,6352,1321,16546,1568,154,191,12758,1527,1974,496,1707,685,1336,374,7319,1084,422,389
0500000US06019,6019,"Fresno County, California",2011,155609,4439,114643,4274,35072,2734,32314,2715,15725,1949,30962,2955,570,348,40966,2656,11694,1484,6392,1095,5184,1012,17096,1796,600,336
0500000US06023,6023,"Humboldt County, California",2011,28459,1875,17122,1643,2321,625,2567,680,3211,784,8919,1457,104,126,11337,1180,1590,519,786,353,1012,362,7895,1109,54,45
0500000US06025,6025,"Imperial County, California",2011,27172,1553,19365,1523,9160,1224,4429,1066,1701,737,3783,846,292,294,7807,1103,4160,878,1538,547,649,358,1398,414,62,71
0500000US06029,6029,"Kern County, California",2011,144094,4352,104141,4124,42832,2370,24974,2489,12369,1777,23178,2669,788,583,39953,2587,15585,1910,6672,1242,4080,962,13070,1708,546,326
0500000US06031,6031,"Kings County, California",2011,22822,1448,16974,1521,6920,1262,4220,1135,2272,815,3466,880,96,120,5848,891,2558,804,1119,457,437,264,1629,469,105,104
0500000US06033,6033,"Lake County, California",2011,16839,1362,9855,1411,2685,842,1845,711,981,610,4281,1199,63,106,6984,1069,2022,697,1039,559,905,482,3018,799,0,208
0500000US06037,6037,"Los Angeles County, California",2011,1482011,12100,1126864,11396,114669,5569,182673,6195,190495,6976,632558,9853,6469,1258,355147,8018,43892,2830,28745,2175,29397,2143,248141,6439,4972,1099
0500000US06039,6039,"Madera County, California",2011,24738,1996,16427,1984,4732,1022,3678,1034,2367,774,5230,1304,420,393,8311,1049,2538,893,784,387,1135,548,3803,871,51,86
0500000US06041,6041,"Marin County, California",2011,60453,2759,43474,2667,2201,676,4971,1142,5649,1102,30286,2363,367,276,16979,1497,1891,701,940,413,1358,513,12576,1384,214,193
0500000US06045,6045,"Mendocino County, California",2011,20447,1648,11224,1578,1098,514,1708,561,1522,606,6896,1394,0,208,9223,1306,1936,644,1205,531,778,346,4996,961,308,234
0500000US06047,6047,"Merced County, California",2011,38880,2463,28126,2290,11846,1575,6558,1242,3006,884,6350,1055,366,314,10754,1144,3864,720,1601,462,1088,333,3982,929,219,198
0500000US06053,6053,"Monterey County, California",2011,58668,2648,41893,2536,8263,1625,6667,1067,7468,1228,19254,1896,241,187,16775,1494,2923,800,1466,549,1931,641,10314,1154,141,115
0500000US06055,6055,"Napa County, California",2011,27183,1774,19241,1788,2437,716,3099,926,3081,900,10474,1502,150,185,7942,1003,1448,561,996,366,442,272,5017,828,39,66
0500000US06057,6057,"Nevada County, California",2011,30219,2173,21607,2023,2580,777,3178,794,4728,1270,10933,1723,188,314,8612,1050,1500,580,843,327,586,309,5500,877,183,189
0500000US06059,6059,"Orange County, California",2011,581991,6072,443304,6618,38639,3058,69124,4310,76818,4515,256305,5675,2418,695,138687,3984,16185,1704,12234,1552,12786,1611,95352,3240,2130,622
0500000US06061,6061,"Placer County, California",2011,94614,3282,70800,3486,13575,2142,18271,2401,12805,2014,25715,3106,434,289,23814,2215,3540,920,2316,736,2329,820,15269,2097,360,357
0500000US06065,6065,"Riverside County, California",2011,451415,7857,337651,8577,85469,5356,84793,5214,58527,4418,106890,6262,1972,769,113764,5528,34353,3755,14721,1963,12570,1830,50643,3460,1477,604
0500000US06067,6067,"Sacramento County, California",2011,286161,6945,217036,6261,62065,3720,58682,3658,33905,3258,61298,4098,1086,508,69125,3670,17701,1940,9725,1576,7689,1145,33227,2592,783,445
0500000US06071,6071,"San Bernardino County, California",2011,381133,7803,292309,7745,81776,5394,72417,5360,44859,4585,89593,5758,3664,1491,88824,4403,29356,3213,11774,1973,9273,1726,35989,3009,2432,1036
0500000US06073,6073,"San Diego County, California",2011,565447,6512,427532,6778,42651,2961,78317,3603,79864,4969,217597,6226,9103,1789,137915,4071,22411,2023,14550,1681,11134,1304,88001,3833,1819,705
0500000US06075,6075,"San Francisco County, California",2011,123681,4286,87602,4114,4515,1122,9516,1681,12478,1736,60767,3295,326,207,36079,2878,1726,656,1701,647,2100,725,30065,2603,487,432
0500000US06077,6077,"San Joaquin County, California",2011,124893,3875,92654,3663,30271,2966,24365,2728,12668,1506,24637,2733,713,483,32239,2262,9112,1146,4221,869,4003,832,14546,1634,357,263
0500000US06079,6079,"San Luis Obispo County, California",2011,56773,2117,37595,1951,2724,614,5581,1046,5861,961,23309,1981,120,160,19178,1592,3405,811,1564,593,1188,533,12870,1461,151,179
0500000US06081,6081,"San Mateo County, California",2011,150930,3851,111295,3709,6798,1271,12399,1331,18085,1748,73553,3595,460,265,39635,2154,2259,580,1936,522,2610,648,32473,1978,357,292
0500000US06083,6083,"Santa Barbara County, California",2011,71387,2527,49518,2347,5809,913,7845,1065,7351,1184,28015,2143,498,311,21869,1656,3546,808,2559,689,1734,516,13779,1352,251,195
0500000US06085,6085,"Santa Clara County, California",2011,343742,4867,257329,5700,21785,2150,38171,3185,45783,3008,150436,4767,1154,669,86413,4469,9566,1324,5972,1197,7154,1290,63064,3378,657,329
0500000US06087,6087,"Santa Cruz County, California",2011,54319,2402,38380,2463,2183,690,6409,1369,6259,1127,23262,1910,267,179,15939,1488,1397,502,963,387,1737,616,11616,1227,226,205
0500000US06089,6089,"Shasta County, California",2011,45256,1976,28355,2012,6427,1143,7128,1308,4016,995,10765,1629,19,32,16901,1352,4359,999,1982,687,1536,493,8799,1157,225,172
0500000US06095,6095,"Solano County, California",2011,85648,3209,65924,3447,18366,1930,15929,1932,10051,1465,21497,2396,81,99,19724,1713,4691,1042,2897,762,2414,702,9505,1451,217,191
0500000US06097,6097,"Sonoma County, California",2011,107486,3552,77308,3439,8353,1650,15631,2057,15029,1736,37567,2451,728,650,30178,2366,4681,987,2468,567,1964,852,20547,2030,518,367
0500000US06099,6099,"Stanislaus County, California",2011,97147,3225,70083,3299,25523,2332,17475,2110,8315,1404,18087,2367,683,493,27064,2203,9397,1459,3392,774,2364,622,11324,1398,587,328
0500000US06101,6101,"Sutter County, California",2011,19872,1433,14799,1495,4877,999,4059,937,2135,793,3728,963,0,208,5073,874,2281,664,427,222,575,331,1752,442,38,58
0500000US06107,6107,"Tulare County, California",2011,76347,2682,55841,2960,20088,2113,12150,1763,7639,1337,15798,2099,166,149,20506,1662,6965,1111,2920,636,2607,696,7658,1221,356,286
0500000US06111,6111,"Ventura County, California",2011,173534,3760,137331,3697,13435,1732,27689,2333,25543,2350,70342,3521,322,174,36203,2407,4861,832,3320,792,3168,753,24353,2289,501,336
0500000US06113,6113,"Yolo County, California",2011,37802,2312,28085,2016,5632,1283,7234,1328,4701,1090,10518,1612,0,208,9717,1290,2157,736,1261,458,764,357,5319,1099,216,270
0500000US06115,6115,"Yuba County, California",2011,13324,1267,9935,1271,2933,935,2517,718,1753,789,2695,751,37,63,3389,806,622,245,605,290,498,259,1607,622,57,92
0500000US06001,6001,"Alameda County, California",2012,286205,5284,216631,5040,27004,1961,45795,2718,39895,2856,102980,3844,957,329,69574,2779,9449,1212,6829,1007,6395,934,46224,2606,677,460
0500000US06007,6007,"Butte County, California",2012,50752,2105,32873,1951,8730,1254,7173,1076,5363,907,11153,1433,454,377,17879,1548,5211,977,2123,633,1729,533,8728,1152,88,101
0500000US06013,6013,"Contra Costa County, California",2012,244208,4892,188950,4823,36230,3003,39982,3182,32474,2427,79968,3817,296,211,55258,2983,9523,1501,6058,1026,4927,1016,34130,2465,620,342
0500000US06017,6017,"El Dorado County, California",2012,47733,1998,34327,2028,5739,987,8446,1345,6440,1151,13702,1582,0,197,13406,1223,2470,751,1521,463,1759,473,7493,1145,163,116
0500000US06019,6019,"Fresno County, California",2012,150354,3479,108864,3381,35563,2612,27305,2416,17511,1741,27886,1901,599,284,41490,2673,10801,1354,7813,1168,5337,858,17210,1823,329,203
0500000US06023,6023,"Humboldt County, California",2012,28072,1613,18483,1623,2211,665,2653,669,3773,792,9620,1350,226,232,9589,1137,1371,456,1283,387,1295,352,5569,942,71,77
0500000US06025,6025,"Imperial County, California",2012,26517,1836,16895,1759,7985,1203,3462,846,1466,533,3803,974,179,153,9622,1292,4183,926,1804,602,499,285,3136,792,0,197
0500000US06029,6029,"Kern County, California",2012,147900,3817,106199,3836,48903,3385,23200,2332,13369,1679,20127,2378,600,544,41701,2502,15607,1808,6561,1062,4233,1161,14523,1674,777,338
0500000US06031,6031,"Kings County, California",2012,19777,1547,14255,1299,5578,864,3681,952,2089,666,2803,771,104,161,5522,855,1938,526,838,377,878,406,1868,551,0,197
0500000US06033,6033,"Lake County, California",2012,15542,1557,9536,1552,2417,780,1432,496,1574,593,4113,1097,0,197,6006,1050,1987,549,1005,463,520,298,2457,706,37,64
0500000US06037,6037,"Los Angeles County, California",2012,1481122,11896,1121835,11313,122006,4013,191888,5749,191896,5148,608037,9877,8008,1532,359287,6574,44293,2664,33083,2334,31794,2076,243780,5343,6337,1242
0500000US06039,6039,"Madera County, California",2012,24555,1669,16709,1707,5063,978,3792,855,2197,671,5373,1154,284,379,7846,1074,2007,596,1040,442,866,362,3596,766,337,286
0500000US06041,6041,"Marin County, California",2012,63948,2193,45388,2349,3678,1052,5798,1197,7841,1376,28035,2105,36,60,18560,1638,1439,465,1726,695,982,330,14203,1496,210,182
0500000US06045,6045,"Mendocino County, California",2012,18959,1278,10067,1151,1560,628,1699,473,2315,857,4493,774,0,197,8892,1049,1556,542,1567,600,1096,527,4673,902,0,197
0500000US06047,6047,"Merced County, California",2012,40931,2532,30195,2247,13602,1354,6964,1300,3420,907,6169,1306,40,48,10736,1221,3380,733,1588,657,1397,520,4143,670,228,183
0500000US06053,6053,"Monterey County, California",2012,60584,2594,43257,2585,7271,1197,9452,1376,8826,1268,17472,1876,236,143,17327,1522,3480,781,1482,509,1581,523,10699,1237,85,136
0500000US06055,6055,"Napa County, California",2012,29220,1412,20187,1523,2610,654,4325,868,3900,851,9352,1165,0,197,9033,884,1536,387,655,312,752,382,5852,725,238,236
0500000US06057,6057,"Nevada County, California",2012,29567,1721,18485,1590,2849,728,3334,863,2555,712,9747,1323,0,197,11082,1282,1835,624,1501,572,693,394,7009,1078,44,74
0500000US06059,6059,"Orange County, California",2012,565956,6120,421483,6179,38471,2517,67894,3865,81180,3808,232658,6118,1280,551,144473,4170,19818,1734,12543,1572,13192,1570,97562,3910,1358,569
0500000US06061,6061,"Placer County, California",2012,92455,2507,68641,2926,13196,1545,18451,2004,11484,1402,25379,2206,131,127,23814,1876,4239,975,2216,545,2382,569,14755,1401,222,165
0500000US06065,6065,"Riverside County, California",2012,442164,7580,325771,7640,85324,4578,83387,4016,49309,3527,105379,4792,2372,827,116393,4057,36412,2727,14985,1610,11857,1521,50852,2998,2287,694
0500000US06067,6067,"Sacramento County, California",2012,289227,4852,221612,4903,69758,3001,58211,3117,31263,2692,60341,3234,2039,1005,67615,2866,20188,1700,10956,1378,6920,1023,28569,2130,982,505
0500000US06071,6071,"San Bernardino County, California",2012,360060,6921,274681,6021,75969,3522,66500,4399,44335,3739,85107,4922,2770,1060,85379,3542,28057,2473,12285,1510,9643,1425,33499,2501,1895,744
0500000US06073,6073,"San Diego County, California",2012,573530,6642,429578,7221,49192,3127,83866,4150,75512,3985,210237,7240,10771,2223,143952,4180,26284,2010,13070,1387,14149,1303,88736,3574,1713,565
0500000US06075,6075,"San Francisco County, California",2012,124739,4592,88407,3872,5360,1104,9380,1411,14474,1939,59073,3104,120,143,36332,2646,1866,670,1457,560,3259,727,28960,2367,790,352
0500000US06077,6077,"San Joaquin County, California",2012,121799,3621,89083,3470,32542,2447,22347,2140,13177,1668,20227,2230,790,614,32716,2200,10295,1316,4143,831,3740,731,14063,1337,475,290
0500000US06079,6079,"San Luis Obispo County, California",2012,56105,2277,37533,2272,3570,958,7129,1240,6237,1108,20556,1849,41,69,18572,1472,3013,926,1939,556,868,372,12516,1388,236,182
0500000US06081,6081,"San Mateo County, California",2012,148728,3608,107218,3665,5831,970,12812,1489,17039,1831,71221,3084,315,184,41510,2234,3504,713,2400,734,2681,704,32681,2164,244,195
0500000US06083,6083,"Santa Barbara County, California",2012,73176,2449,49835,2294,6837,1078,8621,1511,7297,1140,26964,2094,116,137,23341,1847,3433,805,2797,818,1087,354,15936,1692,88,94
0500000US06085,6085,"Santa Clara County, California",2012,344484,5421,255233,5805,22474,2048,39377,2782,46520,2790,146011,4594,851,363,89251,3675,12380,1504,6685,1261,7009,857,62067,3055,1110,396
0500000US06087,6087,"Santa Cruz County, California",2012,52900,2407,38681,2537,3093,823,6337,1187,6587,1118,22459,2207,205,207,14219,1393,1272,523,1367,502,761,295,10674,1214,145,155
0500000US06089,6089,"Shasta County, California",2012,42265,1908,27251,1663,7364,1137,6500,960,4210,873,9017,1224,160,180,15014,1123,4071,745,1714,469,1770,463,7395,967,64,88
0500000US06095,6095,"Solano County, California",2012,83408,2784,64835,2634,19391,1597,17981,1813,10746,1600,16369,1613,348,276,18573,1508,5709,1164,2253,603,2597,622,7813,1049,201,161
0500000US06097,6097,"Sonoma County, California",2012,110476,3322,80697,2928,9546,1076,16794,1783,12914,1710,40792,2278,651,363,29779,1878,6065,1039,2127,569,2298,625,18749,1578,540,304
0500000US06099,6099,"Stanislaus County, California",2012,93081,2911,69968,2826,27346,1781,19005,1781,7076,1436,16360,1949,181,154,23113,1490,8087,1229,3278,775,2676,629,8841,1012,231,227
0500000US06101,6101,"Sutter County, California",2012,18517,1200,12778,1307,4916,925,3200,787,1442,500,3207,832,13,21,5739,839,1764,586,1143,380,413,277,2248,548,171,195
0500000US06107,6107,"Tulare County, California",2012,75044,2700,52061,2960,18749,2179,10441,1550,7806,1611,14560,1666,505,421,22983,2086,7591,1225,3878,854,2590,671,8752,1346,172,121
0500000US06111,6111,"Ventura County, California",2012,172028,3950,133540,3838,14030,1855,28912,2534,25585,2220,64641,3059,372,249,38488,1963,7091,1113,3653,716,3757,690,23726,1623,261,174
0500000US06113,6113,"Yolo County, California",2012,35683,1960,25818,1717,5848,1155,6450,1124,4707,911,8773,1313,40,65,9865,1178,2845,804,1064,515,910,383,4926,931,120,122
0500000US06115,6115,"Yuba County, California",2012,14671,1122,10375,1159,2481,688,4289,958,856,342,2749,761,0,197,4296,856,1437,555,886,495,353,210,1600,546,20,36
0500000US06001,6001,"Alameda County, California",2013,288417,4698,217870,4957,25783,2116,35827,2597,40792,3135,114143,4201,1325,604,70547,3073,10933,1561,6613,848,5569,1018,46793,2667,639,320
0500000US06007,6007,"Butte County, California",2013,48961,2379,30662,1997,7433,1257,6984,1206,4816,1038,10941,1601,488,381,18299,1689,5004,936,2443,672,2659,699,8184,1344,9,17
0500000US06013,6013,"Contra Costa County, California",2013,247289,4837,182194,4683,29821,2232,35081,2787,33122,2990,83621,4015,549,433,65095,3483,12029,1682,7267,1329,6462,1062,38705,2961,632,376
0500000US06017,6017,"El Dorado County, California",2013,48749,2157,34055,2077,5287,1018,8248,1485,4962,1054,15510,1530,48,85,14694,1660,3171,815,1398,580,1546,549,8347,1203,232,300
0500000US06019,6019,"Fresno County, California",2013,152766,3755,108751,3449,34020,2607,26929,2349,16685,1895,30807,2701,310,216,44015,2856,14787,1800,6662,1110,5563,932,16465,1645,538,476
0500000US06023,6023,"Humboldt County, California",2013,28950,1391,17226,1397,1964,535,3377,1016,3842,892,8014,1122,29,47,11724,1064,2319,611,1082,465,1282,471,6949,1100,92,153
0500000US06025,6025,"Imperial County, California",2013,25644,2032,15947,1862,6358,1196,4046,1209,2661,808,2817,722,65,106,9697,1243,4598,957,1011,476,989,402,2948,749,151,143
0500000US06029,6029,"Kern County, California",2013,137511,4443,96246,3999,40513,2819,24758,2305,10194,1869,20553,2275,228,249,41265,2691,16009,1864,8063,1363,4365,981,12423,1512,405,408
0500000US06031,6031,"Kings County, California",2013,21090,1578,14699,1460,5506,1189,3957,904,2125,666,2901,798,210,266,6391,992,2141,555,1341,602,785,353,2124,553,0,203
0500000US06033,6033,"Lake County, California",2013,16595,1322,10145,1396,2976,861,2057,810,1017,472,3997,920,98,163,6450,1099,1833,712,1464,521,375,285,2593,713,185,258
0500000US06037,6037,"Los Angeles County, California",2013,1477894,14280,1097561,13495,121808,4297,178630,6095,179388,5985,610062,12052,7673,1211,380333,6735,52618,3218,32148,2374,36882,2156,252070,5759,6615,1272
0500000US06039,6039,"Madera County, California",2013,25570,1786,17072,1785,5364,1066,3678,926,2457,635,5155,1193,418,517,8498,1102,2082,662,1328,489,658,382,4238,971,192,193
0500000US06041,6041,"Marin County, California",2013,67526,2327,48916,2497,4320,1219,5468,1059,6810,1109,32161,2640,157,157,18610,1717,1949,633,1342,612,1675,587,13644,1303,0,203
0500000US06045,6045,"Mendocino County, California",2013,19271,1571,11236,1519,1339,581,1917,739,1746,645,6234,1294,0,203,8035,1173,1282,501,1074,521,712,366,4894,971,73,119
0500000US06047,6047,"Merced County, California",2013,40650,2025,27417,1987,10522,1339,6365,1175,3383,856,6978,1382,169,206,13233,1407,4444,1069,2450,716,1346,646,4887,812,106,142
0500000US06053,6053,"Monterey County, California",2013,61919,2274,42942,2515,5915,1048,7745,1374,7695,1277,21442,2156,145,186,18977,1407,3257,725,1404,521,2020,700,12143,1297,153,120
0500000US06055,6055,"Napa County, California",2013,29568,1564,21978,1439,2831,651,3398,809,4216,804,11445,1114,88,90,7590,1081,1543,379,600,285,755,261,4637,831,55,76
0500000US06057,6057,"Nevada County, California",2013,28215,1601,18435,1515,2424,786,3306,815,3112,965,9526,1492,67,115,9780,1460,1104,499,276,216,1065,477,7286,1375,49,86
0500000US06059,6059,"Orange County, California",2013,577242,6926,423346,6902,36697,2870,61601,3723,75763,4282,247363,6489,1922,728,153896,4878,23128,2070,12567,1501,13360,1632,103128,3954,1713,608
0500000US06061,6061,"Placer County, California",2013,92391,2806,68275,2837,11485,1554,17004,1892,12535,1652,27000,2186,251,214,24116,1678,4561,929,2526,772,3285,810,13696,1407,48,81
0500000US06065,6065,"Riverside County, California",2013,442179,7433,325105,7712,77320,3904,78702,3818,56014,3737,111339,5336,1730,600,117074,4306,38666,2906,17038,1679,12310,1598,47221,3243,1839,478
0500000US06067,6067,"Sacramento County, California",2013,282206,5311,210444,5965,53614,3113,54298,3587,34527,2730,66624,3511,1381,654,71762,3428,19045,1732,10702,1338,8647,1174,33042,2286,326,300
0500000US06071,6071,"San Bernardino County, California",2013,361591,5248,266470,5361,65384,3508,61860,3477,45396,3555,91905,4301,1925,616,95121,3678,30626,3005,13270,1506,9949,1425,39194,2522,2082,694
0500000US06073,6073,"San Diego County, California",2013,576985,6112,426725,7595,47035,3486,78121,3847,79318,4453,211545,6469,10706,2590,150260,4992,26838,2535,12330,1501,13179,1371,94647,3813,3266,995
0500000US06075,6075,"San Francisco County, California",2013,127211,4092,86276,3943,5987,1314,9390,1608,12438,1947,58362,3500,99,166,40935,2193,2661,697,2045,579,1821,578,33777,2082,631,405
0500000US06077,6077,"San Joaquin County, California",2013,119716,3216,86166,3549,28128,2587,22390,2337,12068,1839,23178,2067,402,214,33550,2217,10130,1222,4493,822,3922,826,14566,1530,439,222
0500000US06079,6079,"San Luis Obispo County, California",2013,59488,2158,40001,2386,4409,1134,6827,1429,7258,1446,21248,2205,259,232,19487,1645,3083,796,1577,614,1306,457,13216,1325,305,231
0500000US06081,6081,"San Mateo County, California",2013,156006,3266,112831,3412,6498,1222,13413,1429,15552,1584,76955,3521,413,303,43175,2158,3543,770,2153,576,2162,547,34917,1991,400,238
0500000US06083,6083,"Santa Barbara County, California",2013,73083,2839,49627,2754,8061,1251,7886,1644,6998,1108,26682,1897,0,203,23456,2207,4943,1220,2017,646,1426,449,14730,1766,340,260
0500000US06085,6085,"Santa Clara County, California",2013,346701,5514,250638,5458,22433,2294,29844,2104,41348,2818,155751,3795,1262,631,96063,3315,13683,1466,7843,1250,6439,1172,66731,2702,1367,415
0500000US06087,6087,"Santa Cruz County, California",2013,56426,2450,39692,2395,4207,1011,5454,1088,6059,1170,23877,2301,95,159,16734,1522,1822,506,1105,398,1551,592,11970,1374,286,250
0500000US06089,6089,"Shasta County, California",2013,42681,1855,27536,1823,6319,1017,5766,940,5270,895,9853,1468,328,249,15145,1476,3602,779,1829,531,1288,470,8268,1061,158,150
0500000US06095,6095,"Solano County, California",2013,84317,3067,63996,3008,18211,1710,17455,1935,10186,1136,17866,1959,278,179,20321,1815,4383,865,3369,857,2988,720,9385,1244,196,254
0500000US06097,6097,"Sonoma County, California",2013,110682,3513,77932,3300,9843,1534,14105,1840,12280,1760,41449,2397,255,198,32750,2215,6751,1361,2869,796,2575,696,20113,1919,442,241
0500000US06099,6099,"Stanislaus County, California",2013,94674,2732,69062,2864,26856,2621,16073,1816,8781,1629,17116,1768,236,201,25612,1791,8307,1146,4156,879,2462,765,10491,1575,196,171
0500000US06101,6101,"Sutter County, California",2013,18772,1353,12955,1422,4061,906,3042,794,2447,691,3333,760,72,121,5817,923,1629,597,1510,522,513,271,2115,493,50,84
0500000US06107,6107,"Tulare County, California",2013,70872,2878,50936,2980,14855,1805,13528,1983,6886,1387,14773,2531,894,858,19936,1766,7572,1228,2986,743,1589,542,7494,1108,295,197
0500000US06111,6111,"Ventura County, California",2013,168134,3661,127156,3490,13566,1507,22943,1932,25514,2096,64884,3378,249,189,40978,2562,7874,1338,3403,657,4422,875,24874,2226,405,257
0500000US06113,6113,"Yolo County, California",2013,34816,1715,24845,1781,4047,854,6437,960,4449,923,9876,1543,36,61,9971,1269,2021,610,1511,552,827,377,5346,967,266,207
0500000US06115,6115,"Yuba County, California",2013,14230,1178,9869,1344,2588,689,2423,759,1501,488,3289,1038,68,113,4361,953,1271,611,766,483,969,507,1309,456,46,82
