GeoID,Date,Total:,Total: - Median value for units with a mortgage,Total: - Median value for units without a mortgage
6001,31/12/2005,597700,612900,540500
6007,31/12/2005,262300,298100,217500
6013,31/12/2005,590200,605400,520900
6017,31/12/2005,497800,542200,365200
6019,31/12/2005,251000,275000,202800
6023,31/12/2005,300700,336300,236200
6025,31/12/2005,182000,208300,120100
6029,31/12/2005,210700,227000,151300
6031,31/12/2005,188800,202000,142300
6033,31/12/2005,255300,274600,240900
6037,31/12/2005,480300,487300,451700
6039,31/12/2005,308400,312700,294200
6041,31/12/2005,868200,869600,862900
6045,31/12/2005,385000,433800,305900
6047,31/12/2005,305300,326000,231400
6053,31/12/2005,645700,658200,599900
6055,31/12/2005,603900,617900,559600
6057,31/12/2005,440100,459300,388900
6059,31/12/2005,623600,643400,536000
6061,31/12/2005,492000,511900,429800
6065,31/12/2005,371600,395100,231400
6067,31/12/2005,365500,377100,310400
6071,31/12/2005,322400,341000,222200
6073,31/12/2005,552000,573000,471500
6075,31/12/2005,726700,735900,705400
6077,31/12/2005,379600,398000,310300
6079,31/12/2005,529500,566800,422100
6081,31/12/2005,763100,764000,760500
6083,31/12/2005,646300,699300,486500
6085,31/12/2005,681700,686800,661800
6087,31/12/2005,694100,704500,654200
6089,31/12/2005,240200,264700,181500
6095,31/12/2005,454600,464200,395400
6097,31/12/2005,601700,621400,515700
6099,31/12/2005,347100,359700,299300
6101,31/12/2005,286600,296400,244400
6107,31/12/2005,202400,210700,167400
6111,31/12/2005,602700,620800,502700
6113,31/12/2005,434900,447100,400200
6115,31/12/2005,247000,260000,226000
6001,31/12/2006,646800,658600,600400
6007,31/12/2006,273700,304600,204800
6013,31/12/2006,641900,658600,562200
6017,31/12/2006,515100,547900,412400
6019,31/12/2006,301400,316300,239700
6023,31/12/2006,336000,347700,313000
6025,31/12/2006,245100,263700,166100
6029,31/12/2006,255100,273500,195900
6031,31/12/2006,228000,243600,179100
6033,31/12/2006,317800,338100,286500
6037,31/12/2006,574100,584300,532900
6039,31/12/2006,336500,352500,246300
6041,31/12/2006,901900,923400,841700
6045,31/12/2006,457400,474800,415400
6047,31/12/2006,359300,372000,327700
6053,31/12/2006,685100,694200,654200
6055,31/12/2006,657300,675800,599600
6057,31/12/2006,478400,488900,450400
6059,31/12/2006,676000,698400,589800
6061,31/12/2006,507900,529800,462500
6065,31/12/2006,414000,437400,293300
6067,31/12/2006,389200,398700,343200
6071,31/12/2006,378100,395900,258300
6073,31/12/2006,572000,590100,494800
6075,31/12/2006,806700,813500,792300
6077,31/12/2006,427000,443500,346200
6079,31/12/2006,581000,603100,518900
6081,31/12/2006,814700,833100,746900
6083,31/12/2006,685700,721800,570800
6085,31/12/2006,743000,750100,714100
6087,31/12/2006,717100,735300,638800
6089,31/12/2006,290500,300100,250000
6095,31/12/2006,489600,499200,434900
6097,31/12/2006,618500,632200,572500
6099,31/12/2006,371700,380000,335600
6101,31/12/2006,335300,352600,226400
6107,31/12/2006,232100,244500,175800
6111,31/12/2006,648000,663000,562800
6113,31/12/2006,455700,468800,396200
6115,31/12/2006,286400,299700,246300
6001,31/12/2007,651800,661200,616600
6007,31/12/2007,288100,315000,231500
6013,31/12/2007,622200,634300,567900
6017,31/12/2007,506500,521600,450100
6019,31/12/2007,296300,314200,237600
6023,31/12/2007,321000,340300,273300
6025,31/12/2007,247000,264700,196500
6029,31/12/2007,256800,274400,192100
6031,31/12/2007,240700,247400,208200
6033,31/12/2007,301800,334900,246600
6037,31/12/2007,589100,600500,543000
6039,31/12/2007,332200,348700,282200
6041,31/12/2007,918700,947800,816300
6045,31/12/2007,469000,497400,393300
6047,31/12/2007,323700,338400,248400
6053,31/12/2007,658700,666300,625600
6055,31/12/2007,643400,674600,489600
6057,31/12/2007,477900,501900,432500
6059,31/12/2007,670600,690300,595600
6061,31/12/2007,483700,493000,444000
6065,31/12/2007,406300,429700,292900
6067,31/12/2007,370600,379400,327400
6071,31/12/2007,387000,404500,294100
6073,31/12/2007,556500,572800,494300
6075,31/12/2007,830700,858000,751600
6077,31/12/2007,399500,424000,330200
6079,31/12/2007,578900,604000,492100
6081,31/12/2007,843100,849300,825300
6083,31/12/2007,641800,672400,559800
6085,31/12/2007,758100,763400,740300
6087,31/12/2007,756800,781900,665000
6089,31/12/2007,255500,285600,204900
6095,31/12/2007,479500,495900,400700
6097,31/12/2007,613900,629300,561200
6099,31/12/2007,358500,368900,317800
6101,31/12/2007,292700,315200,244700
6107,31/12/2007,235100,245400,196500
6111,31/12/2007,641300,651400,596100
6113,31/12/2007,444100,459200,381300
6115,31/12/2007,284100,313200,179400
6001,31/12/2008,606700,619600,550100
6007,31/12/2008,276900,297800,212100
6013,31/12/2008,548600,567600,476600
6017,31/12/2008,446600,462400,384500
6019,31/12/2008,261900,271200,223600
6023,31/12/2008,321200,338300,272600
6025,31/12/2008,214100,236200,149200
6029,31/12/2008,222400,235800,170900
6031,31/12/2008,226300,236000,182800
6033,31/12/2008,256600,270100,218700
6037,31/12/2008,525100,533400,495600
6039,31/12/2008,292500,295600,273600
6041,31/12/2008,922600,921500,927200
6045,31/12/2008,414000,424900,398200
6047,31/12/2008,239800,249800,201500
6053,31/12/2008,535700,531500,549200
6055,31/12/2008,608100,630200,520400
6057,31/12/2008,450000,467900,415200
6059,31/12/2008,616400,634900,536200
6061,31/12/2008,416700,427200,385700
6065,31/12/2008,329600,344200,247900
6067,31/12/2008,312400,321000,275000
6071,31/12/2008,331400,346300,253700
6073,31/12/2008,482900,492100,444800
6075,31/12/2008,824300,836200,775700
6077,31/12/2008,311300,324700,260400
6079,31/12/2008,532600,555600,478400
6081,31/12/2008,820400,829800,785700
6083,31/12/2008,557400,567300,533700
6085,31/12/2008,729000,732100,715700
6087,31/12/2008,660400,694900,511400
6089,31/12/2008,279400,289600,247800
6095,31/12/2008,388800,397900,353900
6097,31/12/2008,518700,534400,469200
6099,31/12/2008,276100,281300,253800
6101,31/12/2008,265700,275900,212400
6107,31/12/2008,223700,232800,199000
6111,31/12/2008,566200,578600,509700
6113,31/12/2008,388200,410800,310700
6115,31/12/2008,219700,241200,151900
6001,31/12/2009,507400,517600,475300
6007,31/12/2009,245100,259500,182300
6013,31/12/2009,424500,433900,390400
6017,31/12/2009,399800,409600,369200
6019,31/12/2009,221700,225400,208700
6023,31/12/2009,303900,311600,284800
6025,31/12/2009,160300,169700,108500
6029,31/12/2009,177800,189200,140400
6031,31/12/2009,204800,210500,178000
6033,31/12/2009,252500,282900,180700
6037,31/12/2009,441400,443700,431800
6039,31/12/2009,226500,227000,223200
6041,31/12/2009,820200,818200,825400
6045,31/12/2009,369800,392000,331500
6047,31/12/2009,157500,160700,147000
6053,31/12/2009,402700,397400,427100
6055,31/12/2009,456100,469100,385800
6057,31/12/2009,413900,419200,398600
6059,31/12/2009,530400,545500,479000
6061,31/12/2009,369400,374700,349700
6065,31/12/2009,247200,256500,203200
6067,31/12/2009,257800,263600,237400
6071,31/12/2009,242000,254800,175000
6073,31/12/2009,417700,427000,386000
6075,31/12/2009,751600,775900,705600
6077,31/12/2009,221600,229200,178600
6079,31/12/2009,460300,470100,425300
6081,31/12/2009,731800,738300,711400
6083,31/12/2009,553900,528300,605600
6085,31/12/2009,645500,645000,647400
6087,31/12/2009,590800,611800,519400
6089,31/12/2009,243300,258200,217400
6095,31/12/2009,297300,311500,233100
6097,31/12/2009,446700,462400,387600
6099,31/12/2009,196800,202900,172400
6101,31/12/2009,199600,207600,178400
6107,31/12/2009,175400,186500,158000
6111,31/12/2009,475900,486200,417600
6113,31/12/2009,337700,346900,293200
6115,31/12/2009,180700,189000,167500
6001,31/12/2010,497200,496200,500600
6007,31/12/2010,233800,249500,197500
6013,31/12/2010,416000,421300,394600
6017,31/12/2010,376600,386300,346700
6019,31/12/2010,212500,217600,190200
6023,31/12/2010,294100,311100,262900
6025,31/12/2010,154100,159100,123700
6029,31/12/2010,164200,170600,138900
6031,31/12/2010,184600,186600,181200
6033,31/12/2010,196200,228900,120100
6037,31/12/2010,429500,429500,429500
6039,31/12/2010,203900,198400,220400
6041,31/12/2010,775200,797500,711400
6045,31/12/2010,360200,377200,335800
6047,31/12/2010,146100,147400,142700
6053,31/12/2010,381700,365200,451400
6055,31/12/2010,424100,432100,391100
6057,31/12/2010,369300,376600,349100
6059,31/12/2010,528200,546700,465000
6061,31/12/2010,344100,343600,346100
6065,31/12/2010,227900,237600,178000
6067,31/12/2010,240200,242700,228600
6071,31/12/2010,221700,236900,166600
6073,31/12/2010,407000,418800,369100
6075,31/12/2010,768000,776900,748600
6077,31/12/2010,213400,217800,188400
6079,31/12/2010,425200,444500,371300
6081,31/12/2010,729500,733700,717500
6083,31/12/2010,446800,453500,428600
6085,31/12/2010,639400,643100,626400
6087,31/12/2010,558000,574200,507600
6089,31/12/2010,225600,237600,195500
6095,31/12/2010,262600,270500,231800
6097,31/12/2010,414000,418600,402500
6099,31/12/2010,176800,181400,162600
6101,31/12/2010,206600,216400,175200
6107,31/12/2010,170300,174800,150000
6111,31/12/2010,458200,465700,425100
6113,31/12/2010,324800,330800,299700
6115,31/12/2010,173700,180700,139000
6001,31/12/2011,480700,484500,464600
6007,31/12/2011,226600,238900,190900
6013,31/12/2011,391400,397800,364600
6017,31/12/2011,337900,343000,316200
6019,31/12/2011,184300,188900,171100
6023,31/12/2011,304900,313500,293000
6025,31/12/2011,130800,144300,93200
6029,31/12/2011,155900,164500,122300
6031,31/12/2011,169600,178200,117600
6033,31/12/2011,192200,217700,113700
6037,31/12/2011,410600,410100,412500
6039,31/12/2011,169300,172200,160500
6041,31/12/2011,730500,752900,671600
6045,31/12/2011,298900,330000,252800
6047,31/12/2011,146700,152700,121300
6053,31/12/2011,332300,325500,361500
6055,31/12/2011,395700,421600,297100
6057,31/12/2011,340400,351500,300300
6059,31/12/2011,506300,518200,471500
6061,31/12/2011,321700,319700,327700
6065,31/12/2011,222700,235500,171600
6067,31/12/2011,217000,218100,213000
6071,31/12/2011,211500,225100,164600
6073,31/12/2011,396500,406100,368300
6075,31/12/2011,719800,724600,707300
6077,31/12/2011,196800,202200,173000
6079,31/12/2011,402200,427200,362000
6081,31/12/2011,706300,711500,690200
6083,31/12/2011,447700,448300,446300
6085,31/12/2011,627400,630800,614900
6087,31/12/2011,532200,551500,469100
6089,31/12/2011,203700,217600,170300
6095,31/12/2011,256400,261900,238000
6097,31/12/2011,398900,404300,385800
6099,31/12/2011,161900,165700,151200
6101,31/12/2011,175900,187900,139600
6107,31/12/2011,152500,155000,140500
6111,31/12/2011,433100,444100,386900
6113,31/12/2011,290200,294500,275300
6115,31/12/2011,162600,168400,118200
6001,31/12/2012,472900,484300,438700
6007,31/12/2012,203100,209700,178000
6013,31/12/2012,381300,389200,350200
6017,31/12/2012,335700,345500,313800
6019,31/12/2012,174200,178400,160500
6023,31/12/2012,280400,285800,265700
6025,31/12/2012,133800,153400,98800
6029,31/12/2012,150200,154300,131000
6031,31/12/2012,161200,168400,132800
6033,31/12/2012,149300,159000,110100
6037,31/12/2012,399500,401200,394700
6039,31/12/2012,168800,168700,169000
6041,31/12/2012,752900,757400,742200
6045,31/12/2012,297200,301800,287700
6047,31/12/2012,138100,141000,124200
6053,31/12/2012,318200,317400,320600
6055,31/12/2012,396500,418100,353500
6057,31/12/2012,324600,329500,312700
6059,31/12/2012,492200,506200,449500
6061,31/12/2012,319300,325100,297200
6065,31/12/2012,220000,233200,168200
6067,31/12/2012,213500,217700,198700
6071,31/12/2012,206100,220800,157500
6073,31/12/2012,386400,395000,352400
6075,31/12/2012,727600,724500,737400
6077,31/12/2012,190600,199800,165600
6079,31/12/2012,410900,429500,364500
6081,31/12/2012,701900,703000,698900
6083,31/12/2012,409700,409300,410600
6085,31/12/2012,634600,634900,633400
6087,31/12/2012,545700,544600,549400
6089,31/12/2012,202500,204800,195400
6095,31/12/2012,234900,241200,199200
6097,31/12/2012,380100,383800,364100
6099,31/12/2012,159800,163000,144600
6101,31/12/2012,166500,167200,162700
6107,31/12/2012,155100,159900,127000
6111,31/12/2012,413100,423400,375700
6113,31/12/2012,280800,286700,252100
6115,31/12/2012,175800,185400,111100
6001,31/12/2013,518900,530900,481900
6007,31/12/2013,217600,233100,180500
6013,31/12/2013,424100,441000,374500
6017,31/12/2013,352900,373300,302400
6019,31/12/2013,185200,193000,166100
6023,31/12/2013,259500,267100,244600
6025,31/12/2013,148400,161800,117800
6029,31/12/2013,161000,170100,123000
6031,31/12/2013,169200,176300,143200
6033,31/12/2013,166400,168300,161800
6037,31/12/2013,420200,422600,412400
6039,31/12/2013,174700,172700,178000
6041,31/12/2013,784200,803800,719300
6045,31/12/2013,297600,299800,291200
6047,31/12/2013,147200,153300,126600
6053,31/12/2013,363800,357900,378000
6055,31/12/2013,443000,458100,363200
6057,31/12/2013,337400,338700,334600
6059,31/12/2013,539000,554600,487800
6061,31/12/2013,352500,359300,330800
6065,31/12/2013,236400,249600,179900
6067,31/12/2013,238000,241400,223100
6071,31/12/2013,230500,247500,172600
6073,31/12/2013,411000,420900,381200
6075,31/12/2013,778000,801500,733200
6077,31/12/2013,208900,216100,187000
6079,31/12/2013,436000,428800,453300
6081,31/12/2013,748300,756200,731700
6083,31/12/2013,437300,453000,392100
6085,31/12/2013,682300,688100,663700
6087,31/12/2013,535500,530800,549200
6089,31/12/2013,209700,217900,191900
6095,31/12/2013,259800,269200,217100
6097,31/12/2013,406900,415500,385000
6099,31/12/2013,175000,175700,173900
6101,31/12/2013,177800,174700,183200
6107,31/12/2013,160400,169500,121300
6111,31/12/2013,443700,459800,383700
6113,31/12/2013,331200,337600,308300
6115,31/12/2013,169800,173600,140800
